"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","downtown","airport","ddowntown"
"57","f","t","House","Entire home/apt",16,2.5,3,7,"Real Bed",200,1,1,130,"f","t","strict",0,0,13615
"58","f","f","House","Private room",2,1,1,2,"Real Bed",29,2,1,0,"f","f","strict",0,0,13615
"59","t","t","Apartment","Private room",2,1,1,1,"Real Bed",65,1,3,58,"f","f","moderate",0,0,13615
"60","f","t","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,0,"t","f","strict",0,0,13615
"61","t","t","House","Private room",2,2,1,1,"Real Bed",85,1,1,26,"f","f","moderate",0,0,13615
"62","f","f","House","Private room",1,1,1,1,"Real Bed",39,1,2,9,"t","f","strict",0,0,13615
"63","f","t","House","Entire home/apt",4,1.5,3,3,"Real Bed",100,1,1,0,"f","f","flexible",0,0,13615
"64","f","f","Apartment","Private room",2,1,1,1,"Real Bed",50,1,1,7,"t","f","strict",0,0,13615
"65","f","t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",100,1,1,78,"f","f","strict",0,0,13615
"66","t","t","Apartment","Private room",2,1,1,1,"Futon",62,1,1,45,"f","f","flexible",0,0,13615
"67","f","t","Condominium","Private room",2,2.5,1,1,"Real Bed",60,1,2,1,"f","f","moderate",0,0,13615
"68","t","t","Apartment","Entire home/apt",6,2,2,3,"Real Bed",200,2,2,1,"f","f","strict",0,0,13615
"69","f","f","House","Entire home/apt",6,1.5,3,3,"Real Bed",125,1,3,8,"f","f","strict",0,0,13615
"70","f","f","House","Entire home/apt",4,1,2,2,"Real Bed",141,3,4,34,"f","f","strict",0,0,13615
"71","f","f","House","Entire home/apt",6,1,2,3,"Real Bed",105,3,1,21,"t","t","strict",0,0,13615
"72","f","t","House","Entire home/apt",6,1,3,4,"Real Bed",150,1,1,8,"f","f","strict",0,0,13615
"73","f","f","Apartment","Entire home/apt",6,1,2,4,"Real Bed",147,3,1,0,"f","f","strict",0,0,13615
"74","f","t","House","Private room",1,1,1,1,"Real Bed",75,1,1,0,"t","f","flexible",0,0,13615
"75","f","t","House","Entire home/apt",16,1,5,11,"Real Bed",200,1,1,18,"f","t","strict",0,0,13615
"76","t","t","House","Private room",2,1.5,1,1,"Real Bed",85,1,1,38,"f","f","moderate",0,0,13615
"77","f","t","House","Private room",1,1,1,1,"Real Bed",75,1,3,13,"f","f","strict",0,0,13615
"78","t","t","House","Private room",1,1,1,1,"Real Bed",72,1,3,35,"t","f","flexible",0,0,13615
"79","t","t","Apartment","Private room",2,1,1,2,"Real Bed",79,1,1,9,"f","f","flexible",0,0,13615
"80","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,1,6,"f","f","moderate",0,0,13615
"81","f","f","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict",0,0,13615
"82","t","t","House","Entire home/apt",8,1,3,5,"Real Bed",150,8,2,46,"f","t","strict",0,0,13615
"83","f","f","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict",0,0,13615
"84","f","t","House","Private room",2,1,1,2,"Real Bed",90,1,1,2,"f","f","flexible",0,0,13615
"85","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",125,1,1,85,"f","t","strict",0,0,13615
"86","f","t","House","Private room",2,2,1,1,"Real Bed",50,1,2,12,"f","f","flexible",0,0,13615
"87","f","t","House","Entire home/apt",5,2.5,3,3,"Real Bed",225,1,5,3,"f","f","flexible",0,0,13615
"88","f","f","Apartment","Entire home/apt",1,1,0,1,"Real Bed",106,1,4,7,"f","f","strict",0,0,13615
"89","f","f","House","Private room",1,0.5,1,1,"Real Bed",31,1,7,12,"f","f","flexible",0,0,13615
