"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"950","f","f","North End","Apartment","Entire home/apt",6,1,2,4,"Real Bed",129,5,2,109,"t","t","strict",1153,2954
"951","f","f","North End","Apartment","Entire home/apt",4,1,1,1,"Real Bed",144,1,1,35,"f","f","strict",1153,2954
"952","f","f","North End","Apartment","Entire home/apt",8,1,3,4,"Real Bed",139,1,2,41,"t","t","strict",1153,2954
"953","f","t","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",118,1,2,1,"f","f","flexible",1153,2954
"954","f","t","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",145,1,3,32,"t","f","flexible",1153,2954
"955","f","t","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed",199,1,1,1,"t","f","moderate",1153,2954
"956","f","t","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed",225,2,2,161,"f","f","strict",1153,2954
"957","t","t","North End","Apartment","Entire home/apt",5,1,2,3,"Real Bed",225,1,2,63,"f","f","flexible",1153,2954
"958","t","f","North End","Apartment","Private room",1,1,1,1,"Real Bed",120,1,1,94,"t","f","moderate",1153,2954
"959","f","f","North End","Condominium","Entire home/apt",6,1,2,3,"Real Bed",199,4,3,0,"t","f","strict",1153,2954
"960","f","f","North End","Apartment","Entire home/apt",5,1,2,2,"Real Bed",119,1,2,54,"t","t","strict",1153,2954
"961","f","f","North End","Apartment","Entire home/apt",5,1,1,4,"Real Bed",99,3,2,93,"t","t","strict",1153,2954
"962","f","f","North End","Apartment","Entire home/apt",2,1,0,1,"Real Bed",79,1,3,25,"t","t","strict",1153,2954
"963","f","f","North End","Apartment","Entire home/apt",6,1,3,3,"Real Bed",149,1,3,3,"t","f","strict",1153,2954
"964","f","f","North End","Apartment","Private room",1,1,1,1,"Real Bed",88,1,1,29,"f","f","flexible",1153,2954
"965","f","t","North End","Apartment","Entire home/apt",3,1,1,2,"Real Bed",200,2,3,4,"f","f","strict",1153,2954
"966","f","t","North End","Apartment","Private room",2,1,1,1,"Real Bed",130,1,3,1,"f","f","flexible",1153,2954
"967","f","f","North End","Apartment","Entire home/apt",6,1,2,3,"Real Bed",99,4,1,82,"t","f","strict",1153,2954
"968","f","f","North End","Condominium","Entire home/apt",2,1,0,1,"Real Bed",140,1,1,16,"t","f","moderate",1153,2954
"969","f","f","North End","Condominium","Entire home/apt",4,1,2,2,"Real Bed",199,1,3,0,"t","f","moderate",1153,2954
"970","f","f","North End","Apartment","Entire home/apt",6,1,2,3,"Real Bed",109,4,1,106,"t","t","strict",1153,2954
"971","t","t","North End","Apartment","Entire home/apt",4,2,2,2,"Real Bed",305,4,1,74,"f","t","strict",1153,2954
"972","f","f","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed",109,1,3,0,"t","f","strict",1153,2954
"973","f","t","North End","Apartment","Private room",1,2,1,1,"Real Bed",50,1,2,0,"f","f","flexible",1153,2954
"974","f","f","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed",109,1,3,3,"t","f","strict",1153,2954
"975","t","t","North End","Apartment","Entire home/apt",3,1,1,2,"Real Bed",159,2,1,159,"t","t","moderate",1153,2954
"976","t","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",195,1,2,26,"f","t","strict",1153,2954
"977","t","t","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed",300,1,2,28,"f","f","flexible",1153,2954
"978","f","f","North End","Apartment","Entire home/apt",5,1,2,2,"Real Bed",99,1,3,3,"t","f","strict",1153,2954
"979","f","f","North End","Apartment","Entire home/apt",8,3,3,4,"Real Bed",299,6,2,40,"t","t","strict",1153,2954
"980","f","t","North End","Apartment","Entire home/apt",4,1,1,2,"Real Bed",147,1,1,28,"t","f","strict",1153,2954
"981","f","t","North End","Condominium","Entire home/apt",3,1,1,2,"Real Bed",147,3,1,138,"t","f","strict",1153,2954
"982","f","f","North End","Apartment","Entire home/apt",6,1,2,1,"Real Bed",45,1,1,0,"f","f","flexible",1153,2954
"983","f","f","North End","Apartment","Entire home/apt",6,1,2,3,"Real Bed",129,4,2,99,"t","t","strict",1153,2954
"984","f","f","North End","Apartment","Entire home/apt",3,1,2,2,"Real Bed",99,1,3,0,"t","f","strict",1153,2954
"985","f","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,1,3,5,"t","f","strict",1153,2954
"986","t","t","North End","Apartment","Entire home/apt",6,1,3,3,"Real Bed",275,4,2,47,"t","t","strict",1153,2954
"987","t","t","North End","Apartment","Entire home/apt",3,1,1,1,"Real Bed",175,2,2,129,"t","f","strict",1153,2954
"988","f","t","North End","Apartment","Entire home/apt",3,1,1,1,"Real Bed",250,2,2,10,"f","f","strict",1153,2954
"989","f","t","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,1,2,18,"f","f","flexible",1153,2954
"990","f","t","North End","Apartment","Private room",1,1,1,1,"Couch",100,1,1,0,"f","f","flexible",1153,2954
"991","t","t","North End","Apartment","Private room",2,1,1,1,"Real Bed",185,2,2,46,"f","f","strict",1153,2954
"992","f","t","North End","Apartment","Entire home/apt",2,1,0,1,"Real Bed",129,1,1,3,"f","f","flexible",1153,2954
"993","f","t","North End","House","Private room",2,1,1,2,"Real Bed",80,1,1,19,"f","f","moderate",1153,2954
"994","f","f","North End","Apartment","Entire home/apt",7,2,3,3,"Real Bed",169,1,3,1,"t","f","strict",1153,2954
"995","f","f","North End","Apartment","Entire home/apt",6,1.5,2,2,"Real Bed",119,1,3,45,"t","f","strict",1153,2954
"996","f","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,1,3,4,"t","f","strict",1153,2954
"997","f","f","North End","Apartment","Entire home/apt",7,1,3,3,"Real Bed",139,1,2,47,"t","t","strict",1153,2954
"998","f","f","North End","Apartment","Entire home/apt",6,1,3,3,"Real Bed",149,1,3,55,"t","f","strict",1153,2954
"999","f","f","North End","Apartment","Entire home/apt",8,2,3,3,"Real Bed",159,1,2,37,"t","t","strict",1153,2954
"1000","f","f","North End","Apartment","Entire home/apt",5,1,2,2,"Real Bed",235,1,4,1,"t","f","flexible",1153,2954
"1001","f","f","North End","Apartment","Entire home/apt",7,1,3,3,"Real Bed",139,1,3,42,"t","t","strict",1153,2954
"1002","f","t","North End","Apartment","Private room",2,1,1,1,"Real Bed",110,1,1,24,"f","f","flexible",1153,2954
"1003","f","f","North End","Apartment","Entire home/apt",7,2,3,3,"Real Bed",169,1,3,3,"t","f","strict",1153,2954
"1004","f","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",250,1,2,65,"t","f","flexible",1153,2954
"1005","t","t","North End","Apartment","Entire home/apt",3,1,1,1,"Real Bed",130,2,2,95,"t","t","strict",1153,2954
"1006","t","t","North End","Apartment","Entire home/apt",2,1,1,2,"Real Bed",225,4,3,6,"f","f","strict",1153,2954
"1007","f","t","North End","Apartment","Entire home/apt",4,1,1,2,"Real Bed",235,2,4,1,"f","f","strict",1153,2954
"1008","f","f","North End","Apartment","Entire home/apt",7,2,3,3,"Real Bed",169,1,3,6,"t","f","strict",1153,2954
"1009","f","t","North End","Condominium","Entire home/apt",2,1,1,1,"Real Bed",175,1,2,3,"f","f","moderate",1153,2954
"1010","f","f","North End","Condominium","Entire home/apt",4,1,1,2,"Real Bed",179,1,2,15,"f","f","strict",1153,2954
"1011","f","f","Roxbury","House","Entire home/apt",3,1,0,1,"Real Bed",56,1,1,110,"f","f","moderate",4213,7277
"1012","t","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",115,2,2,55,"t","f","strict",4213,7277
"1013","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",100,1,1,6,"f","f","flexible",4213,7277
"1014","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,48,"f","f","moderate",4213,7277
"1015","f","t","Roxbury","Apartment","Entire home/apt",5,1,1,3,"Pull-out Sofa",250,1,2,7,"t","f","moderate",4213,7277
"1016","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",130,1,1,2,"f","f","flexible",4213,7277
"1017","f","f","Roxbury","Apartment","Private room",2,1,1,2,"Real Bed",78,1,1,5,"t","f","strict",4213,7277
"1018","f","t","Roxbury","House","Private room",2,1.5,1,1,"Real Bed",95,1,2,126,"t","f","strict",4213,7277
"1019","f","t","Roxbury","House","Private room",2,1,1,1,"Real Bed",65,1,1,21,"t","f","moderate",4213,7277
"1020","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",100,2,3,94,"f","f","moderate",4213,7277
"1021","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",52,1,1,3,"f","f","flexible",4213,7277
"1022","f","f","Roxbury","Townhouse","Private room",2,1,1,1,"Real Bed",83,1,1,155,"t","f","flexible",4213,7277
"1023","t","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,2,57,"t","t","strict",4213,7277
"1024","f","f","Roxbury","Apartment","Entire home/apt",5,1,3,4,"Real Bed",270,3,1,0,"t","f","flexible",4213,7277
"1025","f","t","Roxbury","Apartment","Entire home/apt",2,1,0,1,"Real Bed",94,1,2,8,"f","f","strict",4213,7277
"1026","f","t","Roxbury","Apartment","Entire home/apt",2,1,1,3,"Real Bed",275,2,2,61,"f","f","moderate",4213,7277
"1027","f","f","Roxbury","Apartment","Entire home/apt",6,1,2,3,"Real Bed",265,1,2,66,"f","f","strict",4213,7277
"1028","t","t","Roxbury","Condominium","Entire home/apt",4,2,2,2,"Real Bed",150,4,2,41,"f","t","moderate",4213,7277
"1029","f","t","Roxbury","Apartment","Private room",2,1,0,1,"Real Bed",56,1,1,0,"t","f","flexible",4213,7277
"1030","t","f","Roxbury","Apartment","Entire home/apt",4,1,0,1,"Pull-out Sofa",129,2,2,74,"f","f","moderate",4213,7277
"1031","t","t","Roxbury","Condominium","Private room",5,1,2,2,"Real Bed",110,4,1,36,"t","f","flexible",4213,7277
"1032","t","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",44,1,1,34,"f","f","flexible",4213,7277
"1033","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,1,"Real Bed",169,2,3,29,"t","t","strict",4213,7277
"1034","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,52,"f","f","moderate",4213,7277
"1035","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",52,1,1,16,"t","f","moderate",4213,7277
"1036","f","t","Roxbury","Condominium","Private room",2,1.5,1,1,"Real Bed",50,1,2,7,"f","f","strict",4213,7277
"1037","f","t","Roxbury","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",62,1,1,216,"t","f","moderate",4213,7277
"1038","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",70,1,1,25,"f","f","flexible",4213,7277
"1039","f","t","Roxbury","House","Private room",1,1,1,1,"Real Bed",50,1,3,15,"f","f","moderate",4213,7277
"1040","f","t","Roxbury","Apartment","Entire home/apt",12,3.5,3,5,"Real Bed",400,1,1,2,"f","f","flexible",4213,7277
"1041","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",75,1,1,2,"t","f","moderate",4213,7277
"1042","f","f","Roxbury","House","Private room",2,2,1,2,"Real Bed",75,2,1,20,"t","f","strict",4213,7277
"1043","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",125,2,2,4,"f","f","strict",4213,7277
"1044","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",85,1,5,26,"f","f","strict",4213,7277
"1045","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",44,1,1,5,"f","f","flexible",4213,7277
"1046","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",99,1,14,1,"f","f","strict",4213,7277
"1047","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",45,1,1,15,"f","f","moderate",4213,7277
"1048","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",32,1,14,2,"f","f","strict",4213,7277
"1049","f","t","Roxbury","Apartment","Private room",2,1.5,1,1,"Real Bed",180,1,3,0,"f","f","flexible",4213,7277
"1050","f","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed",112,1,2,0,"t","f","flexible",4213,7277
"1051","t","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed",125,2,2,119,"t","f","strict",4213,7277
"1052","t","t","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed",130,1,2,258,"f","t","moderate",4213,7277
"1053","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed",99,2,1,27,"f","f","strict",4213,7277
"1054","f","t","Roxbury","Apartment","Entire home/apt",8,2,4,4,"Real Bed",345,2,3,9,"t","t","strict",4213,7277
"1055","t","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed",159,2,2,145,"f","f","moderate",4213,7277
"1056","f","t","Roxbury","Townhouse","Entire home/apt",8,2.5,4,4,"Real Bed",200,5,2,13,"f","f","moderate",4213,7277
"1057","f","t","Roxbury","Apartment","Entire home/apt",4,1,0,2,"Real Bed",159,2,3,49,"t","t","strict",4213,7277
"1058","f","t","Roxbury","Condominium","Entire home/apt",6,2,3,3,"Real Bed",350,3,2,6,"f","f","moderate",4213,7277
"1059","f","t","Roxbury","Apartment","Entire home/apt",6,2,3,5,"Real Bed",375,1,3,3,"f","f","strict",4213,7277
"1060","f","f","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed",230,1,2,0,"f","f","flexible",4213,7277
"1061","f","t","Roxbury","Apartment","Entire home/apt",6,1.5,3,3,"Real Bed",269,2,3,32,"t","t","strict",4213,7277
"1062","f","f","Roxbury","Condominium","Entire home/apt",3,1,1,1,"Real Bed",139,1,5,2,"f","f","moderate",4213,7277
"1063","f","f","Roxbury","Condominium","Shared room",2,1,1,1,"Real Bed",125,1,1,6,"f","f","moderate",4213,7277
"1064","f","t","Roxbury","House","Shared room",1,1,1,1,"Couch",29,1,1,52,"f","f","strict",4213,7277
"1065","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed",35,1,14,0,"f","f","strict",4213,7277
"1066","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",39,1,28,1,"f","f","strict",4213,7277
"1067","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",33,1,14,7,"f","f","strict",4213,7277
"1068","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",29,1,14,6,"f","f","strict",4213,7277
"1069","f","t","Roxbury","Condominium","Private room",1,1.5,1,1,"Real Bed",75,1,30,1,"f","f","strict",4213,7277
"1070","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed",35,1,30,12,"f","f","flexible",4213,7277
"1071","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed",35,1,30,7,"f","f","flexible",4213,7277
"1072","f","f","Roxbury","Apartment","Entire home/apt",1,1,1,1,"Real Bed",125,1,45,3,"t","f","moderate",4213,7277
"1073","t","t","Roxbury","Apartment","Entire home/apt",5,1,2,2,"Real Bed",121,1,2,0,"f","f","strict",4213,7277
"1074","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",70,1,3,84,"f","f","strict",4213,7277
"1075","f","t","Roxbury","Loft","Shared room",2,1,1,1,"Real Bed",100,1,1,12,"f","f","moderate",4213,7277
"1076","f","t","Roxbury","Apartment","Entire home/apt",6,1,2,3,"Real Bed",225,2,3,167,"t","f","strict",4213,7277
"1077","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",79,1,2,3,"f","f","moderate",4213,7277
"1078","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,1,1,2,"f","f","moderate",4213,7277
"1079","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",78,1,3,119,"f","f","strict",4213,7277
"1080","f","f","Roxbury","Apartment","Entire home/apt",3,1,1,3,"Real Bed",95,2,2,10,"f","f","strict",4213,7277
"1081","f","t","Roxbury","Apartment","Private room",2,2,1,1,"Real Bed",80,1,1,31,"f","f","moderate",4213,7277
"1082","f","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed",167,1,2,45,"f","f","strict",4213,7277
"1083","f","t","Roxbury","Loft","Entire home/apt",4,1,1,3,"Real Bed",208,1,2,4,"f","t","flexible",4213,7277
"1084","f","t","Roxbury","Condominium","Private room",1,1.5,1,1,"Real Bed",48,1,2,2,"f","f","strict",4213,7277
"1085","t","t","Roxbury","House","Private room",1,1,1,1,"Real Bed",39,1,14,2,"f","f","strict",4213,7277
"1086","t","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",95,2,1,156,"f","f","moderate",4213,7277
"1087","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",68,1,1,3,"t","f","flexible",4213,7277
"1088","f","f","Roxbury","Apartment","Private room",1,3,1,1,"Real Bed",40,1,14,3,"f","f","strict",4213,7277
"1089","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",75,1,3,29,"f","f","strict",4213,7277
"1090","f","f","Roxbury","House","Private room",1,2,1,1,"Futon",60,1,7,5,"f","f","strict",4213,7277
"1091","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",69,1,1,7,"t","f","strict",4213,7277
"1092","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",40,1,14,4,"f","f","strict",4213,7277
"1093","t","t","Roxbury","Condominium","Entire home/apt",4,1,1,2,"Real Bed",195,1,1,55,"t","t","flexible",4213,7277
"1094","f","t","Roxbury","Condominium","Entire home/apt",6,1,3,3,"Real Bed",149,1,1,15,"t","f","strict",4213,7277
"1095","t","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",70,1,6,11,"f","f","flexible",4213,7277
"1097","f","f","Roxbury","House","Private room",1,1,1,1,"Real Bed",55,1,1,18,"t","f","flexible",4213,7277
"1098","f","t","Roxbury","Condominium","Entire home/apt",3,1,1,1,"Real Bed",72,2,2,2,"f","f","strict",4213,7277
"1099","f","f","Roxbury","House","Shared room",4,1,1,3,"Real Bed",39,1,1,17,"t","f","strict",4213,7277
"1100","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",39,1,14,1,"f","f","strict",4213,7277
"1101","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",69,1,1,4,"t","f","strict",4213,7277
"1102","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed",37,1,7,1,"f","f","strict",4213,7277
"1103","t","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed",300,1,2,25,"t","f","strict",4213,7277
"1104","f","f","Roxbury","Townhouse","Entire home/apt",2,1,10,1,"Real Bed",125,1,1,4,"t","f","moderate",4213,7277
"1105","f","t","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed",125,1,2,30,"f","t","moderate",4213,7277
"1106","f","t","Roxbury","Other","Private room",2,1,1,1,"Real Bed",79,1,1,4,"f","f","moderate",4213,7277
"1107","f","f","Roxbury","Apartment","Private room",1,3,1,1,"Real Bed",40,1,14,0,"f","f","strict",4213,7277
"1108","f","t","Roxbury","House","Entire home/apt",4,1.5,1,1,"Real Bed",140,2,3,99,"f","f","flexible",4213,7277
"1109","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",50,1,2,0,"t","f","flexible",4213,7277
"1110","f","f","Roxbury","Apartment","Private room",2,1,1,2,"Real Bed",69,1,1,3,"t","f","strict",4213,7277
"1111","f","f","Roxbury","Apartment","Entire home/apt",2,1,2,2,"Real Bed",179,3,2,0,"f","f","flexible",4213,7277
"1112","f","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed",167,1,2,90,"f","f","strict",4213,7277
"1113","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed",100,1,2,1,"f","f","flexible",4213,7277
"1114","f","f","Roxbury","Apartment","Entire home/apt",3,1,0,3,"Real Bed",129,1,3,0,"f","f","flexible",4213,7277
"1115","f","f","Roxbury","House","Private room",2,2,1,1,"Real Bed",75,2,1,29,"t","f","strict",4213,7277
"1116","f","t","Roxbury","Apartment","Entire home/apt",6,1,2,5,"Real Bed",120,4,3,21,"f","f","moderate",4213,7277
"1117","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",65,1,1,2,"f","f","flexible",4213,7277
"1118","f","f","Roxbury","House","Private room",1,1,1,1,"Real Bed",150,1,1,9,"f","f","moderate",4213,7277
"1119","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",79,1,3,13,"f","f","strict",4213,7277
"1120","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",75,1,2,1,"f","f","moderate",4213,7277
"1121","f","f","Roxbury","Condominium","Entire home/apt",15,2.5,4,9,"Real Bed",150,1,1,3,"f","t","strict",4213,7277
"1122","f","t","Roxbury","Apartment","Entire home/apt",8,2,3,5,"Real Bed",450,5,6,15,"f","f","strict",4213,7277
"1123","f","f","Roxbury","Apartment","Entire home/apt",4,1,2,3,"Real Bed",75,4,1,35,"t","f","moderate",4213,7277
"1124","f","t","Roxbury","House","Private room",2,1,1,1,"Real Bed",60,1,1,1,"f","f","strict",4213,7277
"1125","f","t","Roxbury","House","Entire home/apt",4,1,1,2,"Real Bed",125,1,2,0,"t","f","flexible",4213,7277
"1126","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",39,1,14,2,"f","f","strict",4213,7277
"1127","f","t","Roxbury","Apartment","Entire home/apt",5,1,2,2,"Real Bed",164,1,1,6,"f","f","flexible",4213,7277
"1128","t","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed",139,2,2,40,"f","f","moderate",4213,7277
"1129","t","t","Roxbury","House","Private room",2,1.5,1,1,"Real Bed",72,1,1,63,"f","f","flexible",4213,7277
"1130","t","t","Roxbury","House","Private room",1,1,1,1,"Real Bed",50,1,2,17,"f","f","strict",4213,7277
"1131","f","f","Roxbury","Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,1,2,9,"f","f","flexible",4213,7277
"1132","f","t","Roxbury","Condominium","Private room",2,1,0,1,"Real Bed",47,1,1,9,"f","f","moderate",4213,7277
"1133","f","f","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed",400,1,2,2,"f","f","flexible",4213,7277
"1134","f","t","Roxbury","Apartment","Private room",2,1.5,1,1,"Real Bed",60,1,1,9,"t","f","flexible",4213,7277
"1135","f","t","Roxbury","House","Entire home/apt",8,3.5,3,4,"Real Bed",350,1,2,5,"f","f","flexible",4213,7277
"1136","f","f","Roxbury","Apartment","Entire home/apt",6,2,3,3,"Real Bed",300,1,2,66,"f","f","strict",4213,7277
"1137","f","f","Roxbury","House","Private room",1,2,1,1,"Real Bed",65,1,7,2,"f","f","moderate",4213,7277
"1138","f","t","Roxbury","House","Entire home/apt",6,1,3,3,"Real Bed",180,1,2,7,"f","f","moderate",4213,7277
"1139","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",40,1,14,4,"f","f","strict",4213,7277
"1140","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",73,1,1,43,"t","f","moderate",4213,7277
"1141","f","t","Roxbury","Condominium","Private room",2,1,1,1,"Real Bed",95,1,1,38,"f","f","moderate",4213,7277
"1142","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",65,1,1,11,"f","f","strict",4213,7277
"1143","f","t","Roxbury","House","Shared room",1,1.5,1,1,"Real Bed",57,1,1,3,"f","f","strict",4213,7277
"1144","f","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed",250,1,1,38,"t","t","flexible",4213,7277
"1145","f","t","Roxbury","Apartment","Entire home/apt",5,1,1,2,"Real Bed",195,1,3,13,"f","f","strict",4213,7277
"1146","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",165,1,1,23,"t","f","flexible",4213,7277
"1147","f","t","Roxbury","Guesthouse","Private room",2,1,1,1,"Real Bed",149,1,3,16,"t","f","strict",4213,7277
"1148","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",92,1,2,100,"f","f","moderate",4213,7277
"1149","f","f","Roxbury","House","Private room",1,1,0,2,"Real Bed",75,1,3,0,"f","f","flexible",4213,7277
"1150","f","t","Roxbury","Apartment","Entire home/apt",2,1,0,1,"Real Bed",118,1,1,13,"t","f","strict",4213,7277
"1151","f","t","Roxbury","Apartment","Private room",2,1,1,2,"Real Bed",85,1,3,20,"f","f","strict",4213,7277
"1152","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",46,1,1,4,"f","f","flexible",4213,7277
"1153","f","t","Roxbury","House","Entire home/apt",4,1,2,2,"Real Bed",150,4,2,106,"t","f","moderate",4213,7277
"1154","f","f","Roxbury","Apartment","Entire home/apt",14,3,4,9,"Real Bed",199,1,1,1,"f","f","strict",4213,7277
"1155","f","f","Roxbury","House","Private room",1,1,1,1,"Real Bed",40,1,5,0,"t","f","strict",4213,7277
"1156","f","t","Roxbury","House","Private room",2,1.5,1,1,"Real Bed",69,1,1,16,"f","f","strict",4213,7277
"1157","f","t","Roxbury","House","Private room",1,1,1,1,"Pull-out Sofa",78,1,3,0,"f","f","flexible",4213,7277
"1158","f","t","Roxbury","Apartment","Entire home/apt",6,2,3,3,"Real Bed",129,1,2,24,"t","t","strict",4213,7277
"1159","f","f","Roxbury","House","Private room",2,2,1,2,"Real Bed",75,2,1,21,"t","f","strict",4213,7277
"1160","f","t","Roxbury","Bed & Breakfast","Private room",4,1,1,1,"Real Bed",62,1,1,188,"t","f","moderate",4213,7277
"1161","f","t","Roxbury","House","Private room",2,1,1,1,"Real Bed",60,1,3,116,"t","f","moderate",4213,7277
"1162","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",39,1,14,2,"f","f","strict",4213,7277
"1163","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed",135,1,3,6,"f","f","moderate",4213,7277
"1164","f","t","Roxbury","House","Private room",1,1.5,1,1,"Real Bed",49,1,10,7,"f","f","moderate",4213,7277
"1165","f","f","Roxbury","Apartment","Shared room",2,1,1,1,"Real Bed",150,1,1,0,"f","f","flexible",4213,7277
"1166","f","t","Roxbury","Apartment","Entire home/apt",7,1,1,5,"Real Bed",100,1,1,27,"f","t","strict",4213,7277
"1167","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed",169,2,3,57,"t","t","strict",4213,7277
"1168","f","t","Roxbury","House","Entire home/apt",12,2,3,8,"Real Bed",286,6,4,7,"f","f","strict",4213,7277
"1169","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",39,1,14,1,"f","f","strict",4213,7277
"1170","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed",40,1,14,6,"f","f","strict",4213,7277
"1171","f","t","Roxbury","Condominium","Entire home/apt",6,1,3,3,"Real Bed",149,1,1,8,"t","f","strict",4213,7277
"1172","t","t","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed",134,1,4,32,"f","f","flexible",4213,7277
"1173","f","t","Roxbury","Apartment","Entire home/apt",8,2,3,4,"Real Bed",450,5,6,5,"f","f","strict",4213,7277
"1174","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed",79,1,2,10,"t","f","strict",4213,7277
"1175","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed",50,1,1,0,"f","f","flexible",4213,7277
