"","host_is_superhost","host_identity_verified","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"62","f","f","02131","House","Private room",1,1,1,1,"Real Bed",39,1,2,9,"t","f","strict"
"63","f","t","02131","House","Entire home/apt",4,1.5,3,3,"Real Bed",100,1,1,0,"f","f","flexible"
"64","f","f","02131","Apartment","Private room",2,1,1,1,"Real Bed",50,1,1,7,"t","f","strict"
"65","f","t","02131","Apartment","Entire home/apt",3,1,1,2,"Real Bed",100,1,1,78,"f","f","strict"
"66","t","t","02131","Apartment","Private room",2,1,1,1,"Futon",62,1,1,45,"f","f","flexible"
"67","f","t","02131","Condominium","Private room",2,2.5,1,1,"Real Bed",60,1,2,1,"f","f","moderate"
"68","t","t","02131","Apartment","Entire home/apt",6,2,2,3,"Real Bed",200,2,2,1,"f","f","strict"
"69","f","f","02131","House","Entire home/apt",6,1.5,3,3,"Real Bed",125,1,3,8,"f","f","strict"
"70","f","f","02131","House","Entire home/apt",4,1,2,2,"Real Bed",141,3,4,34,"f","f","strict"
"71","f","f","02131","House","Entire home/apt",6,1,2,3,"Real Bed",105,3,1,21,"t","t","strict"
"72","f","t","02131","House","Entire home/apt",6,1,3,4,"Real Bed",150,1,1,8,"f","f","strict"
"73","f","f","02131","Apartment","Entire home/apt",6,1,2,4,"Real Bed",147,3,1,0,"f","f","strict"
"74","f","t","02131","House","Private room",1,1,1,1,"Real Bed",75,1,1,0,"t","f","flexible"
"75","f","t","02131","House","Entire home/apt",16,1,5,11,"Real Bed",200,1,1,18,"f","t","strict"
"76","t","t","02131","House","Private room",2,1.5,1,1,"Real Bed",85,1,1,38,"f","f","moderate"
"77","f","t","02131","House","Private room",1,1,1,1,"Real Bed",75,1,3,13,"f","f","strict"
"78","t","t","02131","House","Private room",1,1,1,1,"Real Bed",72,1,3,35,"t","f","flexible"
"79","t","t","02131","Apartment","Private room",2,1,1,2,"Real Bed",79,1,1,9,"f","f","flexible"
"80","f","f","02131","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,1,6,"f","f","moderate"
"81","f","f","02131","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict"
"82","t","t","02131","House","Entire home/apt",8,1,3,5,"Real Bed",150,8,2,46,"f","t","strict"
"83","f","f","02131","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict"
"84","f","t","02131","House","Private room",2,1,1,2,"Real Bed",90,1,1,2,"f","f","flexible"
"85","f","t","02131","Apartment","Entire home/apt",3,1,1,1,"Real Bed",125,1,1,85,"f","t","strict"
"86","f","t","02131","House","Private room",2,2,1,1,"Real Bed",50,1,2,12,"f","f","flexible"
"87","f","t","02131","House","Entire home/apt",5,2.5,3,3,"Real Bed",225,1,5,3,"f","f","flexible"
"88","f","f","02131","Apartment","Entire home/apt",1,1,0,1,"Real Bed",106,1,4,7,"f","f","strict"
"89","f","f","02131","House","Private room",1,0.5,1,1,"Real Bed",31,1,7,12,"f","f","flexible"
"90","f","t","02131","House","Entire home/apt",7,2,3,4,"Real Bed",285,5,3,7,"f","t","strict"
"91","f","t","02131","Apartment","Private room",3,1,1,2,"Real Bed",55,2,2,13,"f","f","strict"
"92","f","t","02131","House","Private room",1,1,1,1,"Real Bed",50,1,5,1,"f","f","strict"
"93","f","t","02131","House","Private room",1,1,1,1,"Real Bed",59,1,5,4,"f","f","strict"
"94","t","t","02131","Apartment","Entire home/apt",3,1,1,2,"Real Bed",95,2,2,10,"f","t","moderate"
"95","t","t","02131","House","Private room",2,2,1,1,"Real Bed",85,1,1,74,"f","f","moderate"
"96","t","t","02131","Apartment","Entire home/apt",6,1,2,2,"Real Bed",199,4,2,4,"t","f","strict"
"97","f","t","02130","House","Private room",2,1,1,1,"Real Bed",95,1,4,62,"f","f","moderate"
"98","f","f","02130","Condominium","Private room",2,1,1,1,"Real Bed",55,1,1,6,"t","f","flexible"
"99","f","t","02130","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate"
"100","f","f","02130","Other","Private room",2,1,1,1,"Real Bed",58,1,1,37,"t","f","moderate"
"101","f","f","02130","House","Private room",2,1,1,1,"Real Bed",60,1,1,0,"f","f","flexible"
"102","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",40,1,3,12,"t","f","strict"
"103","t","t","02130","Other","Private room",2,1.5,1,1,"Real Bed",75,2,1,152,"f","f","moderate"
"104","t","t","02130","House","Private room",3,1,1,2,"Real Bed",120,1,2,189,"t","f","strict"
"105","f","t","02130","House","Private room",2,1,0,1,"Real Bed",67,1,2,1,"f","f","moderate"
"106","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",51,1,1,0,"t","f","strict"
"107","f","t","02130","Apartment","Private room",2,1,1,1,"Pull-out Sofa",64,1,1,37,"f","f","moderate"
"108","t","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",60,1,1,171,"f","f","moderate"
"109","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",110,1,1,35,"t","f","flexible"
"110","t","f","02130","Apartment","Private room",1,1,1,1,"Real Bed",65,1,3,130,"t","f","moderate"
"111","f","t","02130","Condominium","Private room",2,1,1,1,"Real Bed",90,1,1,10,"t","f","flexible"
"112","f","t","02130","House","Private room",3,1,1,2,"Real Bed",155,3,1,19,"t","f","moderate"
"113","t","t","02130","House","Private room",3,1,1,2,"Real Bed",95,1,2,57,"f","f","moderate"
"114","t","t","02130","Apartment","Private room",2,1,1,1,"Pull-out Sofa",60,1,1,171,"t","f","strict"
"115","f","f","02130","Apartment","Private room",4,1,1,2,"Real Bed",92,2,2,10,"t","f","strict"
"116","t","t","02130","Townhouse","Private room",2,1,1,1,"Real Bed",95,1,2,53,"f","f","strict"
"117","t","t","02130","House","Private room",1,1,1,1,"Futon",90,1,2,61,"f","f","flexible"
"118","t","t","02130","House","Private room",4,1,1,2,"Real Bed",120,2,2,87,"f","f","moderate"
"119","t","t","02130","House","Private room",1,2,1,1,"Real Bed",50,1,2,100,"t","f","moderate"
"120","f","t","02119","House","Private room",2,1,1,1,"Real Bed",105,1,2,36,"f","f","strict"
"121","t","t","02130","Townhouse","Private room",2,1.5,1,1,"Real Bed",89,1,1,13,"f","f","strict"
"122","f","t","02130","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate"
"123","f","t","02130","Condominium","Private room",2,2,1,1,"Real Bed",70,1,1,10,"f","f","flexible"
"124","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",99,1,2,2,"f","f","moderate"
"125","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",70,2,1,4,"f","f","flexible"
"126","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",90,1,1,3,"f","f","moderate"
"127","f","t","02130","Apartment","Entire home/apt",5,1,3,4,"Real Bed",175,1,2,156,"t","f","moderate"
"128","f","t","02130","Apartment","Entire home/apt",4,1,1,2,"Real Bed",130,1,2,115,"t","f","moderate"
"129","t","t","02130","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,1,2,115,"f","f","strict"
"130","f","t","02130","House","Private room",2,1,1,1,"Real Bed",70,1,2,3,"f","f","moderate"
"131","f","t","02130","Apartment","Entire home/apt",16,3,6,7,"Real Bed",0,9,1,0,"t","f","moderate"
"132","f","f","02130","Condominium","Private room",2,1.5,1,1,"Real Bed",90,1,1,0,"t","f","flexible"
"133","t","t","02119","Bed & Breakfast","Entire home/apt",4,1,2,2,"Real Bed",160,2,2,138,"f","f","strict"
"134","f","t","02130","House","Private room",1,1,1,1,"Real Bed",75,1,14,20,"f","f","strict"
"135","f","t","02130","Apartment","Entire home/apt",6,1,2,4,"Real Bed",168,1,2,90,"t","f","moderate"
"136","f","t","02130","Condominium","Entire home/apt",4,1,2,2,"Real Bed",169,1,2,4,"t","t","flexible"
"137","f","f","02130","House","Entire home/apt",4,1.5,2,2,"Real Bed",100,1,14,0,"t","f","flexible"
"138","f","t","02119","Apartment","Entire home/apt",5,1,2,3,"Real Bed",192,4,2,48,"t","t","moderate"
"139","f","f","02130","Apartment","Entire home/apt",4,1,1,1,"Real Bed",113,2,1,0,"f","f","moderate"
"140","t","t","02130","Apartment","Entire home/apt",8,2,4,6,"Real Bed",439,6,2,51,"t","t","strict"
"142","t","t","02130","House","Entire home/apt",6,1,2,3,"Real Bed",147,4,1,48,"t","t","moderate"
"143","f","t","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",119,1,3,1,"f","f","strict"
"144","f","t","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",130,1,3,0,"f","f","flexible"
"145","f","t","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",135,1,3,0,"f","f","strict"
"146","f","t","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",170,1,3,0,"f","f","strict"
"147","f","t","02130","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,2,2,6,"f","f","moderate"
"148","f","t","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",175,1,3,0,"f","f","strict"
"149","t","t","02130","Apartment","Entire home/apt",6,2,2,2,"Real Bed",240,1,3,142,"t","f","strict"
"150","f","f","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",150,4,5,25,"f","t","moderate"
"151","t","t","02130","Apartment","Entire home/apt",6,1,3,3,"Real Bed",160,1,2,26,"f","t","moderate"
"152","f","t","02130","Apartment","Entire home/apt",4,2,2,2,"Real Bed",185,1,7,6,"f","f","strict"
"153","f","t","02130","Condominium","Private room",2,1,1,1,"Real Bed",60,1,1,14,"t","f","moderate"
"154","f","f","02131","House","Private room",2,1,1,2,"Real Bed",110,1,2,14,"t","f","flexible"
"155","t","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",84,1,4,39,"f","f","moderate"
"156","f","t","02131","Apartment","Private room",4,1.5,2,2,"Real Bed",79,1,1,11,"t","f","flexible"
"157","f","f","02130","Condominium","Private room",2,1,1,1,"Real Bed",75,1,1,4,"t","f","moderate"
"158","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,7,"t","f","strict"
"159","t","t","02130","House","Private room",2,1,1,1,"Real Bed",92,1,1,294,"f","f","moderate"
"160","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",65,1,1,3,"f","f","strict"
"161","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",100,1,1,16,"f","f","flexible"
"162","f","f","02130","Apartment","Private room",1,1,1,1,"Real Bed",50,1,1,9,"f","f","moderate"
"163","t","t","02130","Condominium","Private room",1,1,1,1,"Real Bed",88,1,6,30,"f","f","moderate"
"164","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",120,1,2,31,"f","f","moderate"
"165","f","t","02130","Apartment","Private room",2,1.5,1,1,"Real Bed",62,2,3,9,"f","f","moderate"
"166","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",60,1,2,5,"f","f","strict"
"167","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",95,1,3,21,"f","f","strict"
"168","f","t","02130","House","Entire home/apt",4,1,2,2,"Real Bed",135,2,2,0,"f","f","flexible"
"169","t","f","02130","Apartment","Entire home/apt",2,1,0,1,"Real Bed",129,1,1,107,"f","t","strict"
"170","t","t","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",210,4,2,65,"f","t","moderate"
"171","t","t","02130","House","Entire home/apt",4,1,2,2,"Real Bed",160,1,2,4,"f","f","moderate"
"172","f","t","02130","Apartment","Entire home/apt",3,1,2,1,"Real Bed",120,1,3,11,"f","f","moderate"
"173","f","t","02130","Condominium","Entire home/apt",5,1,2,2,"Real Bed",114,2,3,11,"f","t","strict"
"174","f","t","02130","House","Entire home/apt",8,2.5,5,5,"Real Bed",350,1,14,0,"t","f","flexible"
