"","host_is_superhost","host_identity_verified","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"498","f","t","02130","Apartment","Entire home/apt",4,1,1,2,"Real Bed",120,2,2,31,"f","f","moderate"
"499","f","t","02130","Apartment","Private room",1,1,1,1,"Real Bed",85,1,2,30,"f","f","strict"
"500","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",25,1,1,2,"t","f","flexible"
"501","f","f","02131","Apartment","Private room",2,1,1,1,"Real Bed",110,2,2,19,"t","f","flexible"
"502","t","t","02130","Apartment","Entire home/apt",3,1,2,3,"Real Bed",160,3,3,38,"t","f","moderate"
"503","t","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",65,1,1,70,"t","f","strict"
"504","f","t","02130","House","Private room",1,1,1,1,"Real Bed",69,1,1,0,"t","f","flexible"
"505","t","t","02130","Condominium","Private room",2,1.5,1,1,"Real Bed",75,1,3,50,"f","f","moderate"
"506","t","t","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",249,1,2,24,"f","f","flexible"
"507","f","t","02130","Condominium","Entire home/apt",6,2,2,2,"Real Bed",175,4,3,3,"f","f","moderate"
"508","t","t","02119","Condominium","Entire home/apt",4,1,2,2,"Real Bed",150,1,5,0,"t","f","moderate"
"509","f","t","02130","Apartment","Entire home/apt",2,1,0,1,"Real Bed",99,2,3,90,"f","t","moderate"
"510","f","t","02130","Apartment","Entire home/apt",2,1,1,1,"Real Bed",132,2,1,22,"f","f","strict"
"511","f","t","02130","Condominium","Entire home/apt",3,2,1,1,"Real Bed",200,2,5,5,"f","f","flexible"
"512","t","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",90,1,1,50,"f","f","strict"
"513","t","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,69,"f","f","flexible"
"514","f","t","02120","House","Private room",3,1,1,2,"Real Bed",70,2,1,31,"f","f","flexible"
"515","f","f","02120","Condominium","Private room",4,1,1,2,"Real Bed",140,1,2,7,"f","f","strict"
"516","f","t","02120","Apartment","Private room",2,1.5,1,1,"Real Bed",80,1,1,0,"t","f","moderate"
"517","f","t","02120","Apartment","Private room",3,1,1,3,"Airbed",75,2,2,115,"f","f","strict"
"518","f","f","02120","Apartment","Private room",1,1,0,1,"Real Bed",80,1,1,0,"t","f","flexible"
"519","f","t","02115","Apartment","Private room",1,1,1,1,"Real Bed",150,1,2,1,"f","f","flexible"
"520","f","t","02120","Apartment","Private room",1,1,1,1,"Real Bed",100,1,1,1,"f","f","flexible"
"521","f","f","02120","Apartment","Private room",2,1,1,1,"Real Bed",75,1,5,0,"f","f","flexible"
"522","f","f","02120","Apartment","Private room",2,1,1,2,"Real Bed",45,1,7,4,"f","f","flexible"
"523","f","t","02120","Apartment","Private room",2,2,1,1,"Real Bed",69,1,1,8,"f","f","flexible"
"524","f","f","02120","Apartment","Private room",1,1,1,1,"Real Bed",60,1,25,2,"f","f","moderate"
"525","f","f","02120","Apartment","Private room",1,2,1,1,"Real Bed",55,2,1,3,"f","f","strict"
"526","t","f","02120","Apartment","Entire home/apt",7,1,3,3,"Real Bed",225,1,2,50,"t","f","moderate"
"527","f","t","02120","Apartment","Entire home/apt",5,2,0,1,"Real Bed",200,1,2,0,"t","f","flexible"
"528","f","t","02115","Apartment","Entire home/apt",5,2,2,2,"Real Bed",177,1,10,0,"f","f","strict"
"529","f","t","02120","Apartment","Entire home/apt",2,1,1,1,"Real Bed",219,1,5,2,"f","f","super_strict_30"
"530","f","f","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",153,1,3,0,"f","f","strict"
"531","f","t","02120","Apartment","Private room",2,1.5,1,1,"Real Bed",75,1,1,5,"f","f","flexible"
"532","f","f","02120","Apartment","Private room",1,1,1,1,"Real Bed",60,1,1,2,"f","f","flexible"
"533","t","t","02120","Townhouse","Private room",2,1,1,1,"Real Bed",99,2,1,124,"t","f","moderate"
"534","f","f","02115","Apartment","Entire home/apt",5,2,2,2,"Real Bed",186,1,3,0,"f","f","strict"
"535","f","t","02120","House","Private room",2,1,1,1,"Real Bed",51,1,1,0,"t","f","strict"
"536","f","f","02120","Loft","Private room",3,1,1,2,"Real Bed",99,1,1,3,"f","f","flexible"
"537","f","t","02115","House","Private room",2,1,1,1,"Real Bed",100,1,3,0,"f","f","strict"
"538","f","f","02120","Apartment","Entire home/apt",6,1,1,3,"Real Bed",250,1,2,18,"f","f","moderate"
"539","f","t","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",125,1,3,0,"f","f","strict"
"540","f","t","02115","Apartment","Entire home/apt",5,2,2,2,"Real Bed",175,1,10,0,"f","f","strict"
"541","f","f","02115","Apartment","Entire home/apt",2,1,0,1,"Real Bed",140,1,5,0,"f","f","flexible"
"542","f","f","02120","Apartment","Private room",1,1,0,1,"Futon",77,1,1,18,"f","f","moderate"
"543","f","f","02120","Apartment","Entire home/apt",1,2,1,1,"Real Bed",59,1,1,0,"f","f","flexible"
"544","f","t","02120","House","Private room",4,1,1,2,"Real Bed",118,1,1,0,"f","f","flexible"
"545","f","t","02120","Apartment","Entire home/apt",3,1,1,1,"Real Bed",349,1,3,0,"f","f","strict"
"546","f","t","02120","Apartment","Entire home/apt",3,1,1,1,"Real Bed",169,1,3,0,"f","f","strict"
"547","f","f","02115","Condominium","Entire home/apt",6,1,3,3,"Real Bed",285,1,2,12,"t","t","strict"
"548","f","t","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",171,1,21,1,"f","f","strict"
"549","t","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",89,1,2,56,"f","f","moderate"
"550","f","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",100,2,1,10,"f","f","moderate"
"551","f","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",65,1,3,0,"f","f","flexible"
"552","t","f","02120","Apartment","Entire home/apt",3,2,1,1,"Real Bed",95,1,5,19,"f","f","strict"
"553","f","t","02120","Condominium","Private room",5,1,2,4,"Real Bed",160,4,3,20,"f","f","strict"
"554","f","f","02130","Apartment","Shared room",2,1,1,1,"Real Bed",62,1,1,1,"t","f","moderate"
"555","t","f","02120","House","Private room",1,1,1,1,"Real Bed",80,1,2,59,"f","f","moderate"
"556","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",79,2,3,38,"f","f","strict"
"557","f","f","02120","Apartment","Private room",1,2.5,1,1,"Real Bed",45,1,7,2,"f","f","strict"
"558","f","f","02120","Apartment","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict"
"559","f","t","02115","Apartment","Private room",1,1,1,1,"Real Bed",41,1,1,2,"f","f","flexible"
"560","f","t","02120","Apartment","Entire home/apt",2,1,1,1,"Real Bed",399,1,3,0,"f","f","super_strict_30"
"561","f","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",70,1,3,6,"t","f","strict"
"562","f","f","02120","House","Private room",1,1,1,1,"Real Bed",30,1,1,0,"f","f","flexible"
"563","f","f","02130","Apartment","Private room",1,1,1,1,"Real Bed",60,1,1,0,"t","f","flexible"
"564","f","f","02120","Apartment","Private room",1,1,5,1,"Real Bed",44,1,1,0,"t","f","strict"
"565","f","t","02120","House","Private room",1,1,1,1,"Real Bed",85,1,2,32,"t","f","moderate"
"566","f","t","02130","Apartment","Entire home/apt",5,2,2,2,"Real Bed",174,1,3,0,"f","f","strict"
"567","f","t","02119","Apartment","Entire home/apt",6,2,3,3,"Real Bed",285,2,3,63,"t","t","strict"
"568","f","t","02130","Other","Entire home/apt",3,1,1,2,"Real Bed",259,1,7,0,"f","f","moderate"
"569","f","f","02120","Condominium","Private room",2,1,1,1,"Real Bed",59,1,1,24,"t","f","strict"
"570","f","t","02130","Apartment","Entire home/apt",1,1,0,1,"Real Bed",70,1,1,7,"f","f","flexible"
"571","f","f","02130","Apartment","Private room",1,1,1,1,"Real Bed",55,1,5,1,"f","f","flexible"
"572","f","t","02115","Apartment","Entire home/apt",2,1,2,3,"Real Bed",250,1,30,1,"f","f","strict"
"573","f","f","02120","Apartment","Private room",1,2,1,1,"Real Bed",65,1,1,0,"f","f","strict"
"574","f","t","02130","Other","Entire home/apt",4,2,2,3,"Real Bed",324,1,7,0,"f","f","flexible"
"575","f","f","02120","Apartment","Private room",1,2,6,1,"Real Bed",43,1,3,2,"t","f","flexible"
"576","f","t","02120","Apartment","Entire home/apt",2,1,1,1,"Real Bed",170,1,1,131,"f","t","strict"
"577","f","f","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",185,1,3,0,"f","f","strict"
"578","f","t","02120","Apartment","Private room",2,2,1,1,"Real Bed",79,1,1,5,"f","f","strict"
"579","f","f","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",126,1,3,0,"f","f","strict"
"580","f","f","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",189,1,3,0,"f","f","strict"
"581","f","f","02115","Apartment","Private room",1,1,1,1,"Real Bed",45,1,1,36,"f","f","moderate"
"582","f","t","02120","Apartment","Entire home/apt",5,1,5,4,"Real Bed",100,1,5,0,"f","f","flexible"
"583","f","f","02120","Apartment","Private room",1,1,1,1,"Real Bed",60,1,1,2,"f","f","flexible"
"584","t","t","02120","Loft","Private room",2,1,1,1,"Airbed",30,1,1,2,"f","f","moderate"
"585","f","f","02130","Apartment","Entire home/apt",4,1,1,1,"Real Bed",116,1,1,25,"f","f","strict"
"586","t","t","02120","House","Private room",1,1,1,1,"Real Bed",55,1,10,5,"f","f","moderate"
"587","f","f","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",229,1,3,2,"f","f","strict"
"588","f","t","02130","Apartment","Entire home/apt",1,1,1,1,"Real Bed",131,1,3,0,"f","f","strict"
"589","f","t","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",125,1,3,0,"f","f","strict"
"590","f","f","02120","Apartment","Entire home/apt",3,1,1,1,"Real Bed",159,1,2,10,"f","f","flexible"
"591","f","t","02120","Apartment","Private room",1,1,1,1,"Real Bed",50,1,1,11,"f","f","moderate"
"592","f","f","02115","Apartment","Entire home/apt",5,1,2,2,"Real Bed",189,1,3,0,"f","f","strict"
"593","f","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",80,1,12,1,"t","f","strict"
"594","f","t","02120","House","Private room",2,1,1,1,"Real Bed",56,1,7,1,"f","f","moderate"
"595","f","t","02130","Other","Entire home/apt",2,1,0,2,"Real Bed",207,1,3,1,"f","f","moderate"
"596","f","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",70,2,2,112,"f","f","strict"
"597","f","f","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",150,1,3,0,"f","f","strict"
"598","f","t","02120","House","Private room",1,1,1,1,"Real Bed",75,1,1,0,"f","f","moderate"
"599","f","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",139,1,1,40,"t","f","flexible"
"600","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",80,1,2,21,"f","f","strict"
"601","f","f","02115","Apartment","Entire home/apt",5,2,2,2,"Real Bed",185,1,3,0,"f","f","strict"
"603","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",90,1,2,3,"f","f","strict"
"604","f","f","02120","House","Private room",1,1,1,1,"Futon",50,1,1,1,"f","f","flexible"
"605","f","t","02120","Apartment","Private room",1,1,1,1,"Real Bed",42,1,1,4,"f","f","flexible"
"606","f","f","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",225,1,3,0,"f","f","strict"
"607","f","t","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",169,1,3,1,"f","f","strict"
"608","f","t","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",119,1,3,1,"f","f","strict"
"609","f","f","02115","Apartment","Private room",1,1,1,1,"Real Bed",872,1,1,0,"f","f","flexible"
"610","f","f","02115","Apartment","Entire home/apt",2,1,0,1,"Real Bed",139,1,3,0,"f","f","strict"
"611","f","t","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",195,1,10,0,"f","f","strict"
"612","f","f","02115","Apartment","Entire home/apt",2,1,1,1,"Real Bed",175,1,2,0,"f","f","moderate"
"613","t","t","02120","Loft","Entire home/apt",6,1,1,1,"Real Bed",200,2,1,1,"f","f","strict"
"614","f","t","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",188,1,10,0,"f","f","strict"
"615","f","t","02120","House","Private room",1,1,1,1,"Real Bed",70,1,3,34,"t","f","moderate"
"616","f","f","02120","Apartment","Private room",2,1,1,1,"Real Bed",75,1,5,0,"f","f","flexible"
"617","f","t","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",185,1,3,0,"f","f","strict"
"618","f","t","02120","House","Private room",2,1,1,1,"Real Bed",110,1,2,33,"t","f","moderate"
"619","f","f","02120","Apartment","Private room",4,1,1,2,"Real Bed",75,1,2,3,"t","f","flexible"
"620","f","f","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",229,1,3,0,"f","f","strict"
"621","f","f","02115","Apartment","Entire home/apt",5,1,2,3,"Real Bed",120,5,1,51,"t","f","strict"
"622","f","f","02215","Apartment","Entire home/apt",2,1,0,1,"Real Bed",100,1,1,0,"f","f","flexible"
"623","f","t","02120","Condominium","Private room",1,1,1,1,"Real Bed",50,1,7,0,"f","f","strict"
"624","f","f","02120","Apartment","Shared room",1,1,1,1,"Real Bed",28,1,3,11,"f","f","strict"
"625","f","f","02130","Apartment","Entire home/apt",3,1,2,2,"Real Bed",94,1,1,0,"t","f","flexible"
"626","f","t","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",180,1,3,0,"f","f","strict"
"627","f","t","02120","Apartment","Private room",1,1,1,1,"Real Bed",110,1,15,11,"f","f","strict"
"628","f","t","02120","House","Private room",1,1,1,1,"Real Bed",30,1,5,2,"f","f","strict"
"629","f","f","02115","Apartment","Private room",1,1,1,1,"Real Bed",45,1,2,3,"t","f","flexible"
"630","f","t","02115","Apartment","Entire home/apt",4,1,1,2,"Real Bed",109,1,5,6,"f","f","strict"
"631","f","t","02120","Apartment","Entire home/apt",3,1,1,2,"Real Bed",130,2,3,14,"f","f","moderate"
"632","t","t","02120","House","Private room",1,1,1,1,"Real Bed",55,1,12,8,"f","f","moderate"
"633","f","t","02115","Apartment","Entire home/apt",5,1,2,2,"Real Bed",173,1,10,0,"f","f","strict"
"634","f","t","02120","Apartment","Entire home/apt",2,1,0,1,"Real Bed",98,1,14,3,"f","f","flexible"
"635","f","t","02130","Apartment","Private room",3,1.5,1,1,"Real Bed",103,2,1,24,"f","f","moderate"
"636","f","f","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",190,1,3,0,"f","f","strict"
"637","f","t","02115","Apartment","Entire home/apt",3,1,0,1,"Real Bed",125,1,10,0,"f","f","strict"
"638","f","t","02130","Loft","Entire home/apt",4,2,2,3,"Real Bed",160,3,5,1,"f","f","moderate"
"639","f","t","02120","Apartment","Private room",2,1,1,1,"Real Bed",130,1,3,0,"t","f","flexible"
"640","f","t","02120","House","Private room",1,1,1,1,"Real Bed",45,1,1,22,"f","f","flexible"
"641","f","t","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",127,1,3,1,"f","f","strict"
"642","f","f","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",127,1,3,0,"f","f","strict"
"643","f","f","02115","Apartment","Entire home/apt",7,2,3,3,"Real Bed",228,1,3,0,"f","f","strict"
"644","f","f","02215","Apartment","Entire home/apt",4,1,0,2,"Real Bed",183,2,2,133,"f","f","strict"
"645","f","t","02215","Apartment","Entire home/apt",3,1,1,2,"Real Bed",130,1,2,4,"f","f","moderate"
"646","f","t","02215","Condominium","Entire home/apt",4,1,2,2,"Real Bed",100,1,4,0,"f","f","flexible"
"647","f","f","02215","Condominium","Private room",1,1,1,1,"Real Bed",84,1,1,308,"t","f","strict"
"648","f","f","02215","Apartment","Private room",1,1,1,1,"Real Bed",84,1,1,284,"t","f","strict"
"649","f","t","02116","Apartment","Private room",2,1,1,1,"Real Bed",120,1,2,12,"f","f","moderate"
"650","t","t","02116","Apartment","Entire home/apt",7,2,3,3,"Real Bed",315,3,1,46,"t","t","strict"
"651","f","t","02116","Apartment","Entire home/apt",2,1,0,1,"Real Bed",600,1,1,0,"f","f","flexible"
"652","t","t","02116","Apartment","Entire home/apt",2,1,1,2,"Real Bed",209,1,7,1,"f","f","moderate"
"653","f","f","02116","Condominium","Entire home/apt",4,1,0,2,"Real Bed",147,2,2,30,"t","t","strict"
"654","f","t","02116","Apartment","Entire home/apt",3,1,1,1,"Real Bed",350,1,10,2,"f","f","flexible"
"655","f","f","02116","Apartment","Entire home/apt",4,1,1,2,"Real Bed",249,2,2,0,"f","f","strict"
"656","f","f","02116","Townhouse","Entire home/apt",8,2,4,6,"Real Bed",319,6,2,4,"f","f","strict"
"657","t","t","02116","Apartment","Entire home/apt",7,1,3,3,"Real Bed",162,3,1,34,"t","t","strict"
"658","f","t","02116","Condominium","Entire home/apt",2,1,1,1,"Real Bed",139,1,3,2,"f","f","moderate"
"659","t","f","02116","Townhouse","Private room",2,1,1,1,"Real Bed",120,1,3,24,"f","f","moderate"
"660","f","f","02116","Other","Private room",1,1,0,1,"Real Bed",150,1,1,0,"t","f","flexible"
"661","f","t","02116","Condominium","Entire home/apt",2,1.5,1,1,"Real Bed",990,1,3,0,"f","f","moderate"
"662","t","t","02116","Apartment","Entire home/apt",7,1.5,3,4,"Real Bed",423,7,3,33,"t","t","strict"
"663","f","f","02116","Townhouse","Entire home/apt",6,2,2,2,"Real Bed",1250,1,5,0,"f","f","flexible"
"664","t","t","02116","Bed & Breakfast","Private room",2,2,1,1,"Real Bed",99,1,2,75,"t","f","moderate"
"665","f","f","02116","Townhouse","Entire home/apt",8,2.5,3,3,"Real Bed",380,4,2,0,"t","f","strict"
"666","t","t","02116","Apartment","Entire home/apt",3,1,1,2,"Real Bed",180,2,4,56,"t","t","moderate"
"667","t","t","02116","Apartment","Entire home/apt",2,1,1,1,"Real Bed",205,1,30,0,"f","f","moderate"
"668","t","f","02116","Apartment","Entire home/apt",2,1,1,1,"Real Bed",160,1,2,36,"t","f","flexible"
"669","t","f","02116","Apartment","Entire home/apt",2,1,1,1,"Real Bed",175,1,2,34,"t","f","flexible"
"670","f","f","02116","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,1,12,"f","f","flexible"
"671","f","t","02116","Apartment","Private room",1,1,1,1,"Real Bed",125,2,2,31,"f","f","moderate"
"672","f","t","02116","Apartment","Entire home/apt",3,1,1,1,"Real Bed",129,1,5,1,"f","f","strict"
"673","f","f","02116","House","Entire home/apt",5,1,2,3,"Real Bed",299,2,2,58,"f","t","strict"
"674","t","t","02116","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,2,3,24,"f","t","strict"
"675","f","f","02116","House","Entire home/apt",5,1,2,3,"Real Bed",199,2,2,49,"f","f","strict"
"676","f","f","02116","House","Entire home/apt",5,2.5,2,4,"Real Bed",500,1,5,7,"t","f","strict"
"677","t","t","02116","Bed & Breakfast","Private room",2,2,1,1,"Real Bed",99,1,2,115,"t","f","moderate"
"678","f","t","02111","Apartment","Private room",2,2,1,1,"Real Bed",299,2,1,3,"f","f","flexible"
"679","f","t","02111","Loft","Entire home/apt",4,1.5,1,2,"Real Bed",190,4,28,18,"f","t","moderate"
"680","f","t","02111","Apartment","Entire home/apt",4,1,3,2,"Real Bed",270,1,4,3,"f","f","moderate"
"681","f","t","02111","Apartment","Private room",2,1,1,1,"Real Bed",99,1,2,3,"f","f","moderate"
"682","f","t","02111","Apartment","Private room",2,1,1,2,"Real Bed",245,1,1,0,"f","f","moderate"
"683","f","f","02111","Loft","Entire home/apt",4,2,2,2,"Real Bed",399,3,2,28,"f","f","flexible"
"684","f","t","02111","Condominium","Entire home/apt",4,1,2,3,"Real Bed",375,4,1,39,"f","t","moderate"
"685","f","t","02111","Loft","Entire home/apt",5,1,2,2,"Real Bed",315,1,3,6,"f","f","strict"
"686","f","t","02111","Condominium","Entire home/apt",2,1,1,1,"Real Bed",179,3,2,2,"f","f","moderate"
"687","f","f","02111","Apartment","Private room",2,1,1,1,"Real Bed",110,1,5,0,"t","f","flexible"
"688","t","t","02111","Apartment","Entire home/apt",5,1,1,3,"Real Bed",149,2,1,1,"t","f","strict"
"689","f","f","02111","Apartment","Entire home/apt",4,1,1,2,"Real Bed",196,2,2,70,"t","f","strict"
"690","f","f","02111","Apartment","Entire home/apt",3,1,0,1,"Real Bed",130,1,3,0,"f","f","strict"
"691","f","t","02111","Other","Entire home/apt",3,1,1,2,"Real Bed",259,1,7,0,"f","f","moderate"
"692","t","t","02111","Apartment","Entire home/apt",6,1,2,4,"Real Bed",179,2,1,9,"t","t","strict"
"693","f","f","02111","Apartment","Private room",2,1,1,1,"Real Bed",115,1,2,1,"f","f","moderate"
"694","f","f","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,6,2,"f","f","strict"
"695","f","t","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",179,1,22,0,"f","f","strict"
"696","f","f","02111","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,6,0,"f","f","strict"
"697","t","t","02111","Apartment","Entire home/apt",10,2,3,6,"Real Bed",329,3,1,3,"t","t","strict"
"698","t","t","02111","Apartment","Entire home/apt",11,2,4,7,"Real Bed",399,5,1,8,"t","t","strict"
"699","t","t","02111","Apartment","Entire home/apt",11,2,4,7,"Real Bed",399,4,1,5,"t","f","strict"
"700","f","t","02111","Apartment","Entire home/apt",4,1,1,2,"Real Bed",109,1,2,26,"t","t","strict"
"701","f","t","02116","Apartment","Entire home/apt",5,2,2,2,"Real Bed",177,1,3,3,"f","f","strict"
"702","f","f","02111","Apartment","Entire home/apt",5,1,2,2,"Real Bed",196,4,2,10,"t","t","strict"
"703","f","f","02111","Apartment","Entire home/apt",4,1,1,3,"Real Bed",159,2,1,0,"f","f","flexible"
"704","t","t","02111","Apartment","Entire home/apt",5,1,2,3,"Real Bed",295,4,3,22,"t","t","strict"
"705","f","t","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",179,1,4,6,"f","f","strict"
"706","f","t","02111","Apartment","Entire home/apt",7,2,3,1,"Real Bed",208,1,4,0,"f","f","strict"
"707","f","t","02111","Other","Entire home/apt",5,2,2,3,"Real Bed",310,1,7,0,"f","f","moderate"
"708","f","t","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",176,1,5,1,"f","f","strict"
"709","f","t","02111","Apartment","Entire home/apt",7,2,3,1,"Real Bed",201,1,6,0,"f","f","strict"
"710","f","f","02111","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,6,0,"f","f","strict"
"711","f","f","02116","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,3,2,"f","f","strict"
"712","f","t","02111","Other","Entire home/apt",3,1,1,2,"Real Bed",311,1,3,0,"f","f","moderate"
"713","f","f","02111","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,6,0,"f","f","strict"
"714","f","f","02111","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"715","f","t","02111","Loft","Private room",2,2,1,1,"Real Bed",220,1,1,0,"f","f","flexible"
"716","f","t","02111","Apartment","Entire home/apt",5,2,2,3,"Real Bed",389,1,15,3,"f","f","moderate"
"717","f","t","02111","Apartment","Entire home/apt",5,1,2,2,"Real Bed",295,4,2,2,"f","f","flexible"
"718","t","t","02111","Apartment","Entire home/apt",6,2,2,2,"Real Bed",399,4,2,7,"f","t","strict"
"719","f","f","02111","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"720","f","t","02111","Apartment","Entire home/apt",3,1,1,2,"Real Bed",298,1,15,1,"f","f","moderate"
"721","f","t","02111","Apartment","Entire home/apt",3,1,1,1,"Real Bed",134,1,3,1,"f","f","flexible"
"722","f","f","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,6,0,"f","f","strict"
"723","f","t","02116","Apartment","Entire home/apt",3,1,1,1,"Real Bed",133,1,3,0,"f","f","strict"
"724","f","t","02111","Apartment","Entire home/apt",3,1,0,1,"Real Bed",209,1,6,1,"f","f","flexible"
"725","f","t","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",179,1,4,0,"f","f","strict"
"726","f","t","02116","Apartment","Entire home/apt",3,1,1,1,"Real Bed",139,1,3,1,"f","f","strict"
"727","t","t","02111","Apartment","Entire home/apt",5,1,2,3,"Real Bed",179,2,1,9,"t","t","strict"
"728","f","t","02111","Other","Entire home/apt",5,2,2,3,"Real Bed",310,1,7,0,"f","f","moderate"
"729","f","f","02111","Apartment","Entire home/apt",6,2,2,3,"Real Bed",280,2,1,9,"f","f","strict"
"730","t","f","02111","Apartment","Entire home/apt",4,1,1,2,"Real Bed",90,2,2,88,"f","t","strict"
"731","t","t","02111","Apartment","Entire home/apt",4,1,2,3,"Real Bed",295,4,3,24,"t","t","strict"
"732","f","t","02111","Other","Entire home/apt",5,2,2,3,"Real Bed",310,1,7,0,"f","f","moderate"
"733","f","t","02111","Apartment","Entire home/apt",5,2,2,3,"Real Bed",310,1,7,0,"f","f","moderate"
"734","f","t","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",174,1,6,0,"f","f","strict"
"735","f","t","02116","Apartment","Entire home/apt",3,1,1,1,"Real Bed",136,1,2,0,"f","f","strict"
"736","f","t","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",179,1,3,5,"f","t","strict"
"737","t","t","02111","Apartment","Entire home/apt",6,1,2,4,"Real Bed",179,2,1,10,"t","t","strict"
"738","f","t","02111","Apartment","Entire home/apt",3,1,1,1,"Real Bed",129,1,3,3,"f","t","strict"
"739","f","t","02111","Other","Entire home/apt",3,1,1,2,"Real Bed",259,1,7,0,"f","f","flexible"
"740","f","f","02111","Condominium","Entire home/apt",2,1,1,2,"Real Bed",255,1,1,1,"f","f","moderate"
"741","f","t","02111","Other","Entire home/apt",3,1,1,2,"Real Bed",259,1,7,1,"f","f","moderate"
"742","f","t","02111","Apartment","Entire home/apt",5,2,2,2,"Real Bed",179,1,6,1,"f","f","strict"
"743","t","t","02111","Apartment","Entire home/apt",4,1,1,2,"Real Bed",190,2,3,33,"t","t","strict"
"744","t","t","02111","Apartment","Entire home/apt",3,1,1,2,"Real Bed",170,2,2,37,"t","t","strict"
"745","f","t","02116","Apartment","Entire home/apt",5,2,2,2,"Real Bed",191,1,3,5,"f","t","strict"
"746","t","t","02111","Apartment","Entire home/apt",5,1,2,3,"Real Bed",179,2,1,9,"t","f","strict"
"747","f","f","02111","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,2,2,6,"f","t","moderate"
"748","t","t","02111","Apartment","Entire home/apt",11,2,4,7,"Real Bed",399,5,1,15,"t","t","strict"
"749","f","t","02116","Apartment","Entire home/apt",5,2,2,2,"Real Bed",189,1,3,0,"f","f","strict"
"750","f","f","02111","Apartment","Entire home/apt",4,1,1,1,"Real Bed",135,1,3,7,"f","f","flexible"
"751","f","t","02116","Apartment","Entire home/apt",3,1,1,1,"Real Bed",129,1,3,0,"f","f","strict"
"752","f","t","02116","Apartment","Entire home/apt",5,2,2,2,"Real Bed",175,1,3,4,"f","f","strict"
"753","f","t","02111","Apartment","Entire home/apt",6,1,2,2,"Real Bed",275,1,1,0,"f","f","strict"
"754","f","f","02111","Apartment","Entire home/apt",6,1,2,2,"Real Bed",175,4,2,31,"t","t","strict"
"755","f","t","02111","Other","Entire home/apt",5,2,2,3,"Real Bed",272,1,7,1,"f","f","moderate"
