"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"3169","f","f","Fenway","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,30,0,"f","f","strict"
"3170","f","f","Fenway","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"3174","f","f","Fenway","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"3182","f","t","Fenway","Apartment","Entire home/apt",5,2,2,3,"Real Bed",429,1,30,0,"f","f","moderate"
"3188","f","f","Fenway","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,30,0,"f","f","strict"
"3244","f","f","Fenway","Apartment","Entire home/apt",5,2,2,2,"Real Bed",499,1,3,0,"f","f","strict"
"3246","f","f","Fenway","Apartment","Entire home/apt",5,2,2,2,"Real Bed",499,1,3,0,"f","f","strict"
"3259","f","f","Fenway","Apartment","Entire home/apt",5,2,2,2,"Real Bed",599,1,3,0,"f","f","strict"
"3265","f","f","Fenway","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,3,1,"f","f","strict"
"3266","f","f","Fenway","Apartment","Entire home/apt",5,2,2,2,"Real Bed",599,1,3,0,"f","f","strict"
"3268","f","f","Fenway","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"3270","f","f","Fenway","Apartment","Entire home/apt",2,1,1,1,"Real Bed",592,1,1,0,"f","f","flexible"
"3279","f","f","Fenway","Apartment","Shared room",1,1,1,1,"Real Bed",750,1,1,0,"f","f","flexible"
"3354","f","f","Fenway","Apartment","Private room",2,2,1,1,"Real Bed",1275,1,1,0,"f","f","flexible"
"3442","f","f","Brighton","Apartment","Private room",1,1,1,1,"Real Bed",999,1,1,0,"f","f","flexible"
"3498","f","t","Brighton","House","Entire home/apt",10,1.5,5,5,"Real Bed",450,10,2,62,"f","t","strict"
"3525","t","f","Brighton","House","Entire home/apt",12,2,4,7,"Real Bed",450,10,3,52,"t","t","moderate"
"3615","f","t","Brighton","House","Entire home/apt",8,3,3,5,"Real Bed",480,4,3,12,"f","t","strict"
"3721","t","t","West Roxbury","House","Entire home/apt",14,3,6,7,"Real Bed",1100,1,3,0,"f","f","strict"
"3801","f","t","Mattapan","House","Entire home/apt",14,1.5,6,10,"Real Bed",900,1,2,1,"f","f","moderate"
"3929","f","f","Dorchester","House","Entire home/apt",8,2,4,4,"Real Bed",450,1,1,1,"f","f","strict"
"3976","f","f","Dorchester","House","Entire home/apt",10,3,5,5,"Real Bed",500,1,3,0,"f","f","moderate"
"4094","f","f","Dorchester","Condominium","Entire home/apt",9,2,4,5,"Real Bed",417,1,2,0,"f","f","strict"
"4209","f","t","Dorchester","House","Entire home/apt",10,1.5,4,5,"Real Bed",495,10,2,21,"f","f","strict"
"4231","f","f","South Boston Waterfront","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"4233","f","t","South Boston Waterfront","Apartment","Entire home/apt",7,2,3,3,"Real Bed",519,1,3,0,"f","f","moderate"
"4236","f","f","South Boston Waterfront","Apartment","Entire home/apt",7,2,3,3,"Real Bed",914,1,3,1,"f","f","strict"
"4242","f","f","South Boston Waterfront","Apartment","Entire home/apt",4,2,2,2,"Real Bed",3000,1,1,0,"f","f","flexible"
"4243","f","t","South Boston Waterfront","Apartment","Entire home/apt",6,3,3,4,"Real Bed",600,6,4,9,"f","f","strict"
"4252","f","t","South Boston Waterfront","Apartment","Entire home/apt",7,2,3,3,"Real Bed",519,1,3,5,"f","t","strict"
"4254","f","t","South Boston Waterfront","Apartment","Entire home/apt",7,2,3,3,"Real Bed",519,1,3,5,"f","f","strict"
"4255","f","t","South Boston Waterfront","Apartment","Entire home/apt",7,2,3,3,"Real Bed",519,1,3,1,"f","f","strict"
"4265","f","f","South Boston Waterfront","Apartment","Private room",2,1,1,1,"Real Bed",500,1,1,0,"f","f","flexible"
"4274","f","t","South Boston Waterfront","Apartment","Entire home/apt",6,2,3,4,"Real Bed",506,1,3,8,"f","t","moderate"
"4279","f","t","South Boston Waterfront","Apartment","Entire home/apt",6,2,3,4,"Real Bed",506,1,3,7,"f","f","moderate"
"4285","f","f","South Boston Waterfront","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"4287","f","f","South Boston Waterfront","Condominium","Entire home/apt",8,2.5,4,4,"Real Bed",550,1,1,0,"t","f","moderate"
"4318","t","t","South Boston","House","Entire home/apt",6,2.5,3,3,"Real Bed",500,1,2,26,"f","t","strict"
"4323","f","f","South Boston","House","Entire home/apt",6,3.5,4,4,"Real Bed",550,1,3,4,"f","f","strict"
"4340","f","f","South Boston","House","Entire home/apt",6,2.5,3,4,"Real Bed",500,1,2,0,"f","f","flexible"
"4355","t","t","South Boston","Apartment","Entire home/apt",16,2,6,16,"Real Bed",425,6,2,1,"f","f","strict"
"4366","t","t","South Boston","House","Entire home/apt",14,3.5,5,10,"Real Bed",450,6,2,24,"f","t","strict"
"4388","t","t","South Boston","Other","Entire home/apt",8,2,4,4,"Real Bed",500,6,3,17,"f","f","strict"
"4399","f","t","South Boston","Condominium","Entire home/apt",4,2,2,2,"Real Bed",700,1,3,5,"f","f","strict"
"4401","f","t","South Boston","Condominium","Entire home/apt",6,2,2,2,"Real Bed",500,2,1,4,"f","f","strict"
"4420","f","t","South Boston","House","Entire home/apt",10,2,3,3,"Real Bed",485,2,2,2,"f","f","moderate"
"4449","t","t","South Boston","Apartment","Entire home/apt",8,4,4,4,"Real Bed",500,1,2,143,"f","t","moderate"
"4471","f","f","South Boston","House","Entire home/apt",9,2,3,5,"Real Bed",1000,1,2,1,"f","f","flexible"
"4481","f","f","South Boston","House","Entire home/apt",8,1.5,5,5,"Real Bed",700,1,4,4,"t","f","super_strict_60"
"4483","f","t","South Boston","Apartment","Entire home/apt",4,2,2,2,"Real Bed",699,1,2,4,"t","t","strict"
"4493","f","f","South Boston","Apartment","Entire home/apt",12,2.5,3,6,"Real Bed",500,6,1,14,"f","t","strict"
"4500","t","t","South Boston","House","Entire home/apt",16,3.5,5,10,"Real Bed",650,6,2,10,"f","t","strict"
"4508","f","t","South Boston","Apartment","Entire home/apt",4,2,2,2,"Real Bed",699,1,2,5,"t","t","strict"
"4515","f","t","South Boston","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",500,1,2,0,"f","f","flexible"
"4591","f","t","Allston","Apartment","Entire home/apt",5,1,2,2,"Real Bed",524,1,2,0,"f","f","flexible"
"4675","f","t","Allston","Apartment","Entire home/apt",6,2,4,6,"Real Bed",452,6,4,12,"f","f","strict"
