"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"1315","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",165,2,2,5,"f","f","strict",2843,8459
"1316","f","t","House","Entire home/apt",2,1.5,1,1,"Real Bed",150,1,3,1,"f","f","flexible",2843,8459
"1317","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",175,1,1,56,"f","f","strict",2843,8459
"1319","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,2,1,23,"f","f","moderate",2843,8459
"1320","f","f","Apartment","Entire home/apt",3,1,1,1,"Real Bed",200,2,4,13,"t","f","strict",2843,8459
"1321","f","f","Condominium","Entire home/apt",3,1,2,2,"Real Bed",295,3,2,5,"f","f","strict",2843,8459
"1322","f","f","Condominium","Entire home/apt",2,1,1,1,"Real Bed",295,1,1,2,"f","f","moderate",2843,8459
"1323","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",100,1,2,39,"f","f","strict",2843,8459
"1324","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,2,5,"t","f","strict",2843,8459
"1325","f","f","Apartment","Entire home/apt",2,1,0,2,"Real Bed",189,1,2,0,"f","f","strict",2843,8459
"1326","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,31,"t","f","strict",2843,8459
"1327","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,5,11,"t","f","strict",2843,8459
"1328","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,5,8,"t","f","strict",2843,8459
"1329","f","f","Condominium","Entire home/apt",2,1,0,2,"Real Bed",150,2,3,23,"f","f","strict",2843,8459
"1330","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,1,76,"f","f","flexible",2843,8459
"1332","f","f","Condominium","Entire home/apt",5,2.5,2,2,"Real Bed",280,4,2,7,"f","f","moderate",2843,8459
"1333","f","f","Apartment","Entire home/apt",6,1.5,2,3,"Real Bed",300,4,3,46,"f","f","strict",2843,8459
"1334","f","t","Condominium","Private room",2,1.5,1,1,"Real Bed",125,1,2,46,"t","f","moderate",2843,8459
"1335","f","t","Apartment","Private room",2,1,1,1,"Real Bed",60,1,1,33,"t","f","moderate",2843,8459
"1336","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",198,2,5,19,"f","t","flexible",2843,8459
"1337","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",299,1,2,1,"t","f","strict",2843,8459
"1338","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",183,2,2,267,"f","t","strict",2843,8459
"1339","f","t","Apartment","Entire home/apt",5,1,2,2,"Real Bed",85,1,2,3,"t","f","flexible",2843,8459
"1340","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",210,3,2,32,"f","t","strict",2843,8459
"1341","f","t","Apartment","Entire home/apt",2,1,2,1,"Real Bed",149,2,1,8,"f","f","strict",2843,8459
"1342","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",194,2,3,8,"f","f","strict",2843,8459
"1343","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,30,"t","f","strict",2843,8459
"1344","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,10,"t","f","strict",2843,8459
"1345","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,23,"t","f","strict",2843,8459
"1346","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,5,9,"t","f","strict",2843,8459
"1347","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",129,1,2,28,"f","f","strict",2843,8459
"1348","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",170,2,32,24,"f","t","strict",2843,8459
"1350","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",160,2,30,19,"f","t","strict",2843,8459
"1351","f","f","Apartment","Private room",1,1,1,1,"Real Bed",45,1,1,0,"f","f","flexible",2843,8459
"1352","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",275,2,2,8,"f","f","moderate",2843,8459
"1353","f","t","Apartment","Private room",1,1,1,1,"Real Bed",150,1,14,0,"f","f","flexible",2843,8459
"1354","f","f","Apartment","Entire home/apt",2,1,1,2,"Real Bed",200,1,1,15,"f","f","flexible",2843,8459
"1355","f","t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",200,2,90,4,"f","f","strict",2843,8459
"1356","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",129,1,2,0,"t","f","strict",2843,8459
"1357","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",299,1,2,1,"t","f","strict",2843,8459
"1358","t","f","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",150,1,2,54,"f","t","moderate",2843,8459
"1359","t","t","Apartment","Entire home/apt",6,1.5,2,4,"Real Bed",229,1,1,93,"t","t","moderate",2843,8459
"1360","f","t","Condominium","Entire home/apt",6,2.5,2,3,"Real Bed",0,4,1,0,"f","f","strict",2843,8459
"1361","t","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",195,2,2,45,"f","t","moderate",2843,8459
"1362","f","t","Apartment","Private room",1,1,0,1,"Real Bed",190,1,1,0,"f","f","flexible",2843,8459
"1363","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",195,1,3,5,"f","f","strict",2843,8459
"1364","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",138,1,2,12,"f","f","strict",2843,8459
"1365","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",175,1,2,37,"t","t","strict",2843,8459
"1366","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",125,1,1,55,"f","f","strict",2843,8459
"1367","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,1,3,10,"f","f","strict",2843,8459
"1368","f","t","Apartment","Private room",2,1,1,1,"Real Bed",80,1,1,4,"f","f","moderate",2843,8459
"1369","f","f","Other","Entire home/apt",2,1,0,1,"Real Bed",140,1,3,0,"f","f","strict",2843,8459
"1370","f","t","Apartment","Entire home/apt",2,2.5,1,1,"Real Bed",200,1,5,0,"f","f","moderate",2843,8459
"1371","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",164,1,2,47,"f","f","strict",2843,8459
"1372","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",189,1,2,13,"f","f","strict",2843,8459
"1373","f","t","Condominium","Entire home/apt",2,1,1,1,"Real Bed",129,1,2,21,"t","t","strict",2843,8459
"1374","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",175,2,2,4,"f","f","moderate",2843,8459
"1375","f","t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",158,1,2,20,"f","f","moderate",2843,8459
"1376","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",185,3,2,4,"t","t","moderate",2843,8459
"1377","t","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",175,1,2,14,"t","f","moderate",2843,8459
"1378","f","f","Apartment","Entire home/apt",3,1,1,1,"Real Bed",240,2,9,3,"f","f","strict",2843,8459
"1379","t","t","Condominium","Shared room",3,1,1,1,"Airbed",95,1,2,124,"t","f","moderate",2843,8459
"1380","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,15,"t","f","strict",2843,8459
"1381","f","t","House","Entire home/apt",4,1,2,2,"Real Bed",189,1,2,3,"t","f","strict",2843,8459
"1382","t","t","Apartment","Entire home/apt",1,1,0,1,"Real Bed",160,2,31,14,"f","t","strict",2843,8459
"1383","f","t","Apartment","Entire home/apt",4,1.5,2,2,"Real Bed",280,1,1,1,"f","f","flexible",2843,8459
"1384","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",100,1,2,56,"f","f","strict",2843,8459
"1385","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",159,1,2,2,"t","f","strict",2843,8459
"1386","f","f","Condominium","Entire home/apt",2,1,1,1,"Real Bed",298,1,2,7,"t","f","strict",2843,8459
"1387","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",225,1,2,21,"f","f","strict",2843,8459
"1388","f","f","Apartment","Entire home/apt",3,1,2,2,"Real Bed",225,1,3,20,"f","t","moderate",2843,8459
"1389","t","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",185,2,2,124,"t","f","strict",2843,8459
"1390","f","f","Guest suite","Entire home/apt",2,1,0,1,"Real Bed",170,1,3,2,"f","f","strict",2843,8459
"1391","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",203,2,4,6,"f","t","strict",2843,8459
"1392","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",165,1,2,14,"f","f","flexible",2843,8459
"1393","f","t","Apartment","Entire home/apt",5,1,1,1,"Real Bed",250,2,3,16,"f","t","strict",2843,8459
"1394","f","t","Apartment","Private room",2,1.5,1,1,"Real Bed",85,1,2,1,"f","f","flexible",2843,8459
"1396","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",279,1,2,4,"f","f","super_strict_30",2843,8459
"1397","f","f","Condominium","Entire home/apt",2,1,1,1,"Real Bed",265,1,2,6,"t","f","strict",2843,8459
"1398","f","t","Apartment","Shared room",2,1.5,1,1,"Real Bed",77,2,1,2,"f","f","flexible",2843,8459
"1399","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",165,2,2,55,"f","t","strict",2843,8459
"1400","f","t","Condominium","Entire home/apt",3,1,0,1,"Real Bed",149,2,1,42,"f","t","strict",2843,8459
"1401","f","f","Apartment","Entire home/apt",6,2,2,3,"Real Bed",199,1,1,20,"t","t","moderate",2843,8459
"1402","f","f","Apartment","Private room",2,1,1,1,"Real Bed",100,1,1,4,"f","f","moderate",2843,8459
"1403","f","t","Apartment","Entire home/apt",6,2,2,3,"Real Bed",234,1,2,123,"t","f","strict",2843,8459
"1404","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,19,"t","f","strict",2843,8459
"1405","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",140,1,6,1,"f","f","moderate",2843,8459
"1406","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",185,2,3,4,"t","f","moderate",2843,8459
"1407","t","t","Apartment","Entire home/apt",4,1.5,1,1,"Real Bed",225,1,2,22,"f","t","strict",2843,8459
"1408","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",279,1,2,6,"f","f","super_strict_30",2843,8459
"1409","f","f","Apartment","Entire home/apt",3,1.5,2,2,"Real Bed",124,1,1,0,"f","f","flexible",2843,8459
"1411","f","t","Loft","Entire home/apt",3,1,1,1,"Real Bed",260,2,3,0,"f","f","flexible",2843,8459
"1412","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",195,4,2,0,"f","f","strict",2843,8459
"1413","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,7,12,"t","f","strict",2843,8459
"1414","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",210,1,1,0,"f","f","flexible",2843,8459
"1415","t","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,2,4,14,"f","t","flexible",2843,8459
"1417","t","t","Apartment","Entire home/apt",4,2,2,2,"Real Bed",327,4,2,268,"f","t","strict",2843,8459
"1418","f","f","Loft","Entire home/apt",2,1,1,1,"Real Bed",100,1,1,1,"f","f","flexible",2843,8459
"1419","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",160,1,4,9,"f","f","strict",2843,8459
"1420","f","f","Apartment","Private room",2,1,1,1,"Real Bed",100,1,5,0,"f","f","moderate",2843,8459
"1421","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",195,1,4,3,"f","f","strict",2843,8459
"1422","f","f","Condominium","Entire home/apt",4,1,2,2,"Real Bed",191,1,2,3,"f","f","moderate",2843,8459
"1423","f","t","Condominium","Private room",2,1.5,1,1,"Real Bed",125,1,2,43,"t","f","moderate",2843,8459
"1424","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",300,1,2,13,"t","f","strict",2843,8459
"1425","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",154,1,2,61,"t","t","moderate",2843,8459
"1426","t","t","Apartment","Entire home/apt",1,1,1,1,"Real Bed",150,1,5,16,"f","t","strict",2843,8459
"1428","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",170,1,3,2,"f","f","strict",2843,8459
"1430","f","t","Apartment","Private room",1,1,1,1,"Real Bed",89,1,1,16,"f","f","strict",2843,8459
"1431","f","t","Condominium","Entire home/apt",6,1,3,3,"Real Bed",275,3,1,9,"t","f","strict",2843,8459
"1432","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",250,1,1,4,"t","f","moderate",2843,8459
"1433","f","t","Apartment","Entire home/apt",4,1,0,1,"Real Bed",175,1,1,46,"f","f","strict",2843,8459
"1434","f","f","Apartment","Entire home/apt",6,2,2,3,"Real Bed",350,1,1,0,"f","f","flexible",2843,8459
"1435","f","f","Apartment","Entire home/apt",4,2,2,2,"Real Bed",400,1,1,0,"f","f","flexible",2843,8459
"1436","f","t","Apartment","Entire home/apt",4,1,2,3,"Real Bed",300,4,2,1,"t","f","strict",2843,8459
"1437","f","f","Apartment","Private room",1,1,1,1,"Real Bed",99,1,1,5,"f","f","moderate",2843,8459
"1438","f","t","Condominium","Entire home/apt",5,1.5,3,3,"Real Bed",255,3,4,3,"f","t","moderate",2843,8459
"1439","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",219,1,2,58,"t","f","strict",2843,8459
"1440","t","t","Apartment","Entire home/apt",4,1,1,1,"Couch",235,2,1,32,"t","t","moderate",2843,8459
"1441","f","f","Condominium","Entire home/apt",2,1,1,1,"Real Bed",250,1,5,1,"t","f","strict",2843,8459
"1442","t","t","Townhouse","Entire home/apt",2,1,0,1,"Real Bed",160,2,3,55,"f","t","strict",2843,8459
"1443","f","f","Apartment","Private room",2,1,1,1,"Real Bed",180,1,1,0,"f","f","flexible",2843,8459
"1444","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,1,9,"t","f","strict",2843,8459
"1445","t","f","Apartment","Entire home/apt",3,1,1,2,"Real Bed",249,1,3,103,"f","f","moderate",2843,8459
"1446","t","t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",200,2,3,68,"f","t","strict",2843,8459
"1447","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,1,3,6,"t","f","strict",2843,8459
"1448","f","f","Apartment","Private room",6,2,2,1,"Real Bed",173,1,1,7,"t","f","strict",2843,8459
"1449","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,1,20,"t","f","strict",2843,8459
"1450","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",269,1,2,2,"t","f","strict",2843,8459
"1451","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",185,1,1,1,"t","f","moderate",2843,8459
"1452","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",275,1,2,5,"f","f","strict",2843,8459
"1453","f","t","Apartment","Entire home/apt",3,1,0,2,"Real Bed",195,2,5,5,"f","f","strict",2843,8459
"1454","f","f","House","Shared room",2,1,1,1,"Real Bed",50,1,1,80,"t","f","strict",2843,8459
"1455","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,15,"t","f","strict",2843,8459
"1456","f","t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",170,2,2,56,"f","f","moderate",2843,8459
"1457","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",229,1,2,35,"t","f","strict",2843,8459
"1458","t","f","Guesthouse","Private room",3,1,1,2,"Real Bed",199,1,3,6,"f","f","strict",2843,8459
"1459","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,7,24,"f","t","flexible",2843,8459
"1460","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",295,1,5,11,"f","f","flexible",2843,8459
"1462","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,1,1,4,"t","t","moderate",2843,8459
"1463","t","t","House","Entire home/apt",2,1.5,1,1,"Real Bed",250,1,3,26,"t","t","moderate",2843,8459
"1464","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",130,1,1,0,"f","f","flexible",2843,8459
"1465","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",180,1,2,2,"f","f","moderate",2843,8459
"1466","f","t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",180,1,3,3,"f","f","strict",2843,8459
"1467","f","f","Condominium","Entire home/apt",4,1,2,2,"Real Bed",200,1,3,8,"f","f","flexible",2843,8459
"1468","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",195,2,2,78,"f","t","moderate",2843,8459
"1469","f","t","Condominium","Entire home/apt",2,1,1,1,"Real Bed",129,1,2,23,"t","t","strict",2843,8459
"1470","t","t","Condominium","Private room",2,1,1,1,"Real Bed",99,1,2,217,"f","f","moderate",2843,8459
"1471","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",195,1,2,3,"f","f","strict",2843,8459
"1472","f","t","Apartment","Entire home/apt",7,1,2,3,"Real Bed",200,1,1,92,"f","f","strict",2843,8459
"1473","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,2,1,"f","f","flexible",2843,8459
"1474","f","f","Condominium","Entire home/apt",2,1,2,1,"Real Bed",250,1,6,0,"t","f","flexible",2843,8459
"1475","f","t","House","Private room",1,1,1,1,"Real Bed",135,1,1,193,"t","f","moderate",2843,8459
"1476","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,2,1,5,"f","f","strict",2843,8459
"1477","f","f","Guest suite","Entire home/apt",2,1,1,1,"Real Bed",170,1,3,4,"f","f","strict",2843,8459
"1478","f","t","Apartment","Entire home/apt",7,2,2,5,"Real Bed",200,1,1,1,"f","f","strict",2843,8459
"1479","f","f","Condominium","Entire home/apt",4,1,2,1,"Real Bed",350,1,1,0,"f","f","flexible",2843,8459
"1480","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",160,2,30,9,"f","t","strict",2843,8459
"1482","f","t","Apartment","Entire home/apt",6,1,2,3,"Real Bed",250,4,1,5,"f","f","strict",2843,8459
"1483","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",170,1,2,0,"f","f","strict",2843,8459
"1484","f","f","Apartment","Private room",2,1,1,1,"Real Bed",120,1,7,0,"f","f","strict",2843,8459
"1485","t","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",79,2,1,166,"t","f","strict",2843,8459
"1486","t","f","Condominium","Entire home/apt",4,1,2,2,"Real Bed",203,1,2,2,"f","f","strict",2843,8459
"1487","f","t","Condominium","Entire home/apt",3,1,2,2,"Real Bed",250,3,1,21,"f","t","moderate",2843,8459
"1488","f","f","Other","Entire home/apt",2,1,0,1,"Real Bed",140,1,2,4,"f","f","strict",2843,8459
"1489","f","f","Condominium","Entire home/apt",3,1,2,2,"Real Bed",149,1,2,16,"f","f","moderate",2843,8459
"1490","f","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",159,2,2,39,"t","t","strict",2843,8459
"1491","f","f","Apartment","Private room",2,1.5,1,1,"Real Bed",89,2,1,0,"f","f","strict",2843,8459
"1492","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",300,1,2,1,"f","f","moderate",2843,8459
"1493","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,8,"t","f","strict",2843,8459
"1495","t","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",79,2,1,105,"t","t","strict",2843,8459
"1497","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,2,1,0,"f","f","flexible",2843,8459
"1498","t","t","Apartment","Entire home/apt",3,1,2,2,"Real Bed",223,3,1,109,"f","t","moderate",2843,8459
"1499","t","t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",250,1,3,125,"f","t","flexible",2843,8459
"1501","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,1,1,15,"t","f","strict",2843,8459
"1502","f","f","Apartment","Entire home/apt",5,1,2,3,"Real Bed",198,2,3,21,"f","f","strict",2843,8459
"1503","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",144,1,2,16,"f","f","strict",2843,8459
"1504","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,2,10,"t","f","strict",2843,8459
"1505","f","f","Condominium","Entire home/apt",4,1.5,2,2,"Real Bed",275,1,2,0,"f","f","strict",2843,8459
"1506","f","t","Condominium","Entire home/apt",2,1,1,1,"Real Bed",109,1,2,19,"t","t","strict",2843,8459
"1507","f","f","Apartment","Private room",4,1,1,1,"Real Bed",95,1,5,0,"f","f","flexible",2843,8459
"1508","f","t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,2,2,6,"f","t","moderate",2843,8459
"1509","t","t","Apartment","Entire home/apt",2,1,1,2,"Real Bed",190,1,1,106,"t","t","strict",2843,8459
"1510","f","t","Condominium","Entire home/apt",2,1,1,1,"Real Bed",159,1,2,18,"t","f","strict",2843,8459
"1511","t","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",255,2,2,191,"f","f","strict",2843,8459
"1512","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",150,2,1,10,"t","f","moderate",2843,8459
"1513","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",205,2,2,12,"f","t","strict",2843,8459
"1514","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",122,1,2,28,"f","f","strict",2843,8459
"1515","t","f","Apartment","Entire home/apt",6,1,2,3,"Real Bed",350,1,1,58,"t","t","moderate",2843,8459
"1516","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",147,2,3,8,"f","f","moderate",2843,8459
"1517","f","f","Other","Entire home/apt",2,1,0,1,"Real Bed",145,1,2,1,"f","f","strict",2843,8459
"1518","f","f","Other","Entire home/apt",4,1,0,1,"Real Bed",165,2,3,4,"f","f","strict",2843,8459
"1519","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",200,1,1,22,"f","f","strict",2843,8459
"1520","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",180,1,2,10,"f","f","flexible",2843,8459
"1521","f","t","Apartment","Entire home/apt",4,2,2,2,"Real Bed",185,2,2,3,"f","f","moderate",2843,8459
"1522","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",185,2,31,18,"f","t","strict",2843,8459
"1523","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",250,1,1,12,"f","f","flexible",2843,8459
"1524","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",175,2,2,96,"f","t","moderate",2843,8459
"1525","f","t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",200,1,1,43,"f","f","strict",2843,8459
"1526","f","f","Apartment","Entire home/apt",6,1.5,2,2,"Real Bed",250,1,2,60,"f","f","strict",2843,8459
"1527","t","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",250,1,1,49,"t","t","moderate",2843,8459
"1529","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",249,2,3,14,"f","f","strict",2843,8459
"1530","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",175,1,5,19,"f","f","strict",2843,8459
"1531","t","t","Apartment","Private room",2,2,1,1,"Real Bed",255,2,1,42,"t","f","moderate",2843,8459
"1533","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",136,1,3,1,"f","f","strict",2843,8459
"1534","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",175,1,2,17,"t","f","flexible",2843,8459
"1535","f","t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",91,1,1,3,"f","f","moderate",2843,8459
"1536","t","t","Apartment","Entire home/apt",4,2,2,2,"Real Bed",350,1,4,80,"f","t","strict",2843,8459
"1538","t","t","Condominium","Entire home/apt",2,1,1,1,"Real Bed",189,2,1,248,"t","t","strict",2843,8459
"1539","f","f","Other","Entire home/apt",2,1,0,2,"Real Bed",149,2,2,1,"t","f","strict",2843,8459
"1540","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,24,"t","f","strict",2843,8459
"1541","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",139,1,2,16,"f","f","moderate",2843,8459
"1542","f","f","Condominium","Entire home/apt",3,1,1,2,"Real Bed",180,3,3,5,"f","t","moderate",2843,8459
"1543","t","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",235,2,2,108,"f","t","strict",2843,8459
"1544","t","t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",150,1,2,89,"f","f","strict",2843,8459
"1545","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,5,9,"t","f","strict",2843,8459
"1546","f","t","House","Private room",2,1,1,1,"Real Bed",145,1,1,133,"t","f","moderate",2843,8459
"1547","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,3,1,22,"f","f","moderate",2843,8459
"1548","f","f","Other","Entire home/apt",3,1,1,1,"Real Bed",195,1,3,10,"f","f","strict",2843,8459
"1549","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,7,1,"t","f","strict",2843,8459
"1550","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,7,13,"t","f","strict",2843,8459
"1551","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,5,6,"t","f","strict",2843,8459
"1552","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",290,2,2,1,"f","f","moderate",2843,8459
"1553","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",215,1,1,67,"t","t","strict",2843,8459
"1554","t","t","Apartment","Entire home/apt",7,1,2,4,"Real Bed",120,1,1,40,"f","t","strict",2843,8459
"1555","f","t","Apartment","Entire home/apt",6,2,2,3,"Real Bed",350,1,1,106,"t","f","strict",2843,8459
"1556","f","f","Condominium","Entire home/apt",2,1,2,2,"Real Bed",350,1,2,5,"f","f","flexible",2843,8459
"1557","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",215,1,1,53,"t","f","moderate",2843,8459
"1559","t","t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",174,2,2,51,"t","t","strict",2843,8459
"1560","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",195,1,2,33,"t","f","super_strict_30",2843,8459
"1561","t","t","Apartment","Entire home/apt",4,1,2,3,"Real Bed",183,4,1,9,"f","t","strict",2843,8459
"1562","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",350,1,3,17,"t","f","strict",2843,8459
"1563","f","f","Apartment","Entire home/apt",4,1,1,3,"Real Bed",215,2,3,8,"f","t","strict",2843,8459
"1564","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,2,60,10,"f","f","strict",2843,8459
"1565","f","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,3,25,"t","f","strict",2843,8459
"1566","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",173,1,1,1,"f","f","moderate",2843,8459
"1567","f","f","Apartment","Entire home/apt",6,1.5,2,2,"Real Bed",250,1,2,22,"f","f","strict",2843,8459
"1568","f","t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",116,1,3,0,"t","f","flexible",2843,8459
"1569","f","t","Condominium","Entire home/apt",2,2,1,1,"Real Bed",200,2,14,2,"t","f","strict",2843,8459
"1570","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",165,1,2,6,"t","f","super_strict_30",2843,8459
