"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"21","t","t","House","Private room",2,1,1,2,"Real Bed",68,1,2,69,"f","f","flexible",13615,18195
"22","t","t","House","Private room",4,1.5,2,3,"Real Bed",140,4,2,10,"f","f","flexible",13615,18195
"23","t","f","Apartment","Entire home/apt",3,1,0,2,"Real Bed",125,1,2,13,"f","f","flexible",13615,18195
"24","t","t","Apartment","Entire home/apt",6,1,2,2,"Real Bed",175,4,2,14,"t","f","strict",13615,18195
"25","f","f","Condominium","Private room",2,1,1,1,"Real Bed",65,1,1,2,"t","f","flexible",13615,18195
"26","f","f","Apartment","Private room",1,1,0,1,"Real Bed",50,1,1,0,"t","f","flexible",13615,18195
"27","f","f","House","Private room",3,1,1,2,"Real Bed",37,1,1,3,"f","f","strict",13615,18195
"28","f","f","Apartment","Entire home/apt",4,1,1,3,"Real Bed",96,1,2,4,"t","f","flexible",13615,18195
"29","f","f","House","Private room",2,1,1,1,"Real Bed",60,1,1,10,"f","f","flexible",13615,18195
"30","t","t","House","Private room",1,1.5,1,1,"Real Bed",50,1,2,16,"f","f","moderate",13615,18195
"31","f","t","House","Private room",2,1,1,1,"Real Bed",50,1,5,6,"f","f","strict",13615,18195
"32","t","t","Loft","Entire home/apt",2,1,1,1,"Real Bed",125,2,2,33,"f","t","strict",13615,18195
"33","t","t","House","Entire home/apt",3,1,2,2,"Real Bed",125,2,14,12,"f","f","moderate",13615,18195
"34","t","t","Villa","Private room",1,2.5,1,1,"Real Bed",50,1,2,34,"f","f","flexible",13615,18195
"35","t","t","House","Private room",2,1,1,1,"Real Bed",75,1,2,79,"f","f","moderate",13615,18195
"36","f","t","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,14,"f","f","strict",13615,18195
"37","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,1,1,2,"f","f","flexible",13615,18195
"38","t","f","House","Private room",1,1,1,1,"Real Bed",54,1,1,26,"t","f","flexible",13615,18195
"39","f","f","House","Private room",2,1,1,1,"Real Bed",69,1,2,5,"t","f","strict",13615,18195
"40","f","f","Apartment","Private room",2,1,1,1,"Real Bed",115,1,1,0,"f","f","strict",13615,18195
"41","f","t","House","Entire home/apt",8,1,3,5,"Real Bed",150,6,3,21,"f","f","flexible",13615,18195
"42","f","t","Apartment","Private room",1,2.5,1,1,"Real Bed",50,1,2,5,"f","f","moderate",13615,18195
"43","f","t","Condominium","Entire home/apt",4,2,2,2,"Real Bed",148,2,2,5,"f","f","moderate",13615,18195
"44","f","t","House","Entire home/apt",5,3.5,4,3,"Real Bed",175,1,14,1,"f","f","moderate",13615,18195
"45","t","t","House","Private room",2,1.5,1,1,"Real Bed",95,1,1,44,"f","f","moderate",13615,18195
"46","f","f","House","Private room",1,1.5,1,1,"Real Bed",75,1,1,27,"f","f","flexible",13615,18195
"47","f","t","Condominium","Private room",2,1,1,2,"Real Bed",55,1,1,45,"f","f","flexible",13615,18195
"48","f","f","House","Private room",3,1,1,2,"Real Bed",29,2,1,0,"f","f","strict",13615,18195
"49","f","t","House","Private room",2,1,1,1,"Real Bed",50,1,5,12,"f","f","strict",13615,18195
"50","f","f","Townhouse","Private room",4,1.5,1,2,"Real Bed",85,1,1,23,"f","f","strict",13615,18195
"51","t","f","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,49,"f","f","moderate",13615,18195
"52","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,1,7,1,"f","f","flexible",13615,18195
"53","t","t","House","Entire home/apt",8,2,3,4,"Real Bed",209,5,1,1,"f","f","strict",13615,18195
"54","t","t","House","Private room",2,1,1,1,"Real Bed",65,1,2,9,"f","f","flexible",13615,18195
"55","f","t","House","Entire home/apt",4,1.5,2,3,"Real Bed",250,1,2,0,"f","f","strict",13615,18195
"56","f","t","House","Private room",2,1,1,1,"Real Bed",67,1,1,25,"f","f","flexible",13615,18195
"57","f","t","House","Entire home/apt",16,2.5,3,7,"Real Bed",200,1,1,130,"f","t","strict",13615,18195
"58","f","f","House","Private room",2,1,1,2,"Real Bed",29,2,1,0,"f","f","strict",13615,18195
"59","t","t","Apartment","Private room",2,1,1,1,"Real Bed",65,1,3,58,"f","f","moderate",13615,18195
"60","f","t","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,0,"t","f","strict",13615,18195
"61","t","t","House","Private room",2,2,1,1,"Real Bed",85,1,1,26,"f","f","moderate",13615,18195
"62","f","f","House","Private room",1,1,1,1,"Real Bed",39,1,2,9,"t","f","strict",13615,18195
"63","f","t","House","Entire home/apt",4,1.5,3,3,"Real Bed",100,1,1,0,"f","f","flexible",13615,18195
"64","f","f","Apartment","Private room",2,1,1,1,"Real Bed",50,1,1,7,"t","f","strict",13615,18195
"65","f","t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",100,1,1,78,"f","f","strict",13615,18195
"66","t","t","Apartment","Private room",2,1,1,1,"Futon",62,1,1,45,"f","f","flexible",13615,18195
"67","f","t","Condominium","Private room",2,2.5,1,1,"Real Bed",60,1,2,1,"f","f","moderate",13615,18195
"68","t","t","Apartment","Entire home/apt",6,2,2,3,"Real Bed",200,2,2,1,"f","f","strict",13615,18195
"69","f","f","House","Entire home/apt",6,1.5,3,3,"Real Bed",125,1,3,8,"f","f","strict",13615,18195
"70","f","f","House","Entire home/apt",4,1,2,2,"Real Bed",141,3,4,34,"f","f","strict",13615,18195
"71","f","f","House","Entire home/apt",6,1,2,3,"Real Bed",105,3,1,21,"t","t","strict",13615,18195
"72","f","t","House","Entire home/apt",6,1,3,4,"Real Bed",150,1,1,8,"f","f","strict",13615,18195
"73","f","f","Apartment","Entire home/apt",6,1,2,4,"Real Bed",147,3,1,0,"f","f","strict",13615,18195
"74","f","t","House","Private room",1,1,1,1,"Real Bed",75,1,1,0,"t","f","flexible",13615,18195
"75","f","t","House","Entire home/apt",16,1,5,11,"Real Bed",200,1,1,18,"f","t","strict",13615,18195
"76","t","t","House","Private room",2,1.5,1,1,"Real Bed",85,1,1,38,"f","f","moderate",13615,18195
"77","f","t","House","Private room",1,1,1,1,"Real Bed",75,1,3,13,"f","f","strict",13615,18195
"78","t","t","House","Private room",1,1,1,1,"Real Bed",72,1,3,35,"t","f","flexible",13615,18195
"79","t","t","Apartment","Private room",2,1,1,2,"Real Bed",79,1,1,9,"f","f","flexible",13615,18195
"80","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,1,6,"f","f","moderate",13615,18195
"81","f","f","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict",13615,18195
"82","t","t","House","Entire home/apt",8,1,3,5,"Real Bed",150,8,2,46,"f","t","strict",13615,18195
"83","f","f","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict",13615,18195
"84","f","t","House","Private room",2,1,1,2,"Real Bed",90,1,1,2,"f","f","flexible",13615,18195
"85","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",125,1,1,85,"f","t","strict",13615,18195
"86","f","t","House","Private room",2,2,1,1,"Real Bed",50,1,2,12,"f","f","flexible",13615,18195
"87","f","t","House","Entire home/apt",5,2.5,3,3,"Real Bed",225,1,5,3,"f","f","flexible",13615,18195
"88","f","f","Apartment","Entire home/apt",1,1,0,1,"Real Bed",106,1,4,7,"f","f","strict",13615,18195
"89","f","f","House","Private room",1,0.5,1,1,"Real Bed",31,1,7,12,"f","f","flexible",13615,18195
"90","f","t","House","Entire home/apt",7,2,3,4,"Real Bed",285,5,3,7,"f","t","strict",13615,18195
"91","f","t","Apartment","Private room",3,1,1,2,"Real Bed",55,2,2,13,"f","f","strict",13615,18195
